id,"coatNumberStyle(black:0,black_outline:1,white:2)",ShortsLogoColor,ShortsLogoOffset,ChestLogColor,ChestLogLogoOffset,SockLogoColor,SockLogoOffset,FlagOffset,CoatNumberOffset,CoatNumberScale,ShortsLogoScale,ChestLogoScale,SocksLogoScale,FlagScale,ShortsNumberOffset,ShortsNumberScale,CollarType,IsLicensedAsset
10000,2,"3|206,103,192",0|0,"3|206,103,192",0|0,,0|0,0|0,0|0,1,1,1,1,1,0|0,1,0,0
10001,1,"1|64,91,2",0|0,,0|0,"1|64,91,2",0|0,-0.071|-0.008,0|0,1,1,1,1,1,0|0,1,0,0
10002,1,,0|0,,0|0,,0|0,-0.071|-0.01,0|0,1,1,1,1,1,0|0,1,0,0
10003,1,,0|0,"6|156,10,10",0|0,"6|156,10,10",0|0,0|0,0|0,1,1,1,1,1,0|0,1,0,0
10004,0,"4|132,132,132",0.01|-0.01,,0|0,"4|132,132,132",0|0.05,-0.01|-0.005,0|0,1,1,1,1,1,0|0,1,0,0
10005,0,"6|132,4,3",0|0,,0|0,"6|225,202,9",0|0,0|0,0|0,1,1,1,1,1,0|0,1,0,0
10006,2,,0|0,"5|156,189,60",0|-0.02,"5|156,189,60",0|-0.095,0|-0.02,0|0,1,1,1,1,1,0|0,1,0,0
10007,2,"1|162,15,15",0|0,"1|240,240,240",0|0,"1|240,240,240",0|0.05,0|0,0|0,1,1,1,1,1,0|0,1,0,0
10008,1,"2|250,222,247",0|0,"2|250,222,247",0|0,"2|250,222,247",0|0,0|0,0|0,1,1,1,1,1,0|0,1,0,0
10009,1,"3|82,176,66",0|0,"3|248,236,33",0|0,,0|0,0|0,0|0,1,1,1,1,1,0|0,1,0,0
10010,1,,0|0,,0|0,,0|0,0|0,0|0,1,1,1,1,1,0|0,1,0,0
10011,2,,0|0,,0|0,,0|0,0|0,0|0,1,1,1,1,1,0|0,1,0,0
10012,0,,0|0,,0|0,,0|0,0|0,0|0,1,1,1,1,1,0|0,1,0,0
10013,2,,0|0,,0|0,,0|0,0|0,0|0,1,1,1,1,1,0|0,1,0,0
10014,0,,0|0,,0|0,,0|0,0|0,0|0,1,1,1,1,1,0|0,1,0,0
10015,0,,0|0,,0|0,,0|0,0|0,0|0,1,1,1,1,1,0|0,1,0,0
10016,2,,0|0,,0|0,,0|0,0|0,0|0,1,1,1,1,1,0|0,1,0,0
10017,2,,0|0,,0|0,,0|0,0|0,0|0,1,1,1,1,1,0|0,1,0,0
10018,0,,0|0,,0|0,,0|0,0|0,0|0,1,1,1,1,1,0|0,1,0,0
10019,2,,0|0,,0|0,,0|0,0|0,0|0,1,1,1,1,1,0|0,1,0,0
10020,2,,0|0,,0|0,,0|0,0|0,0|0,1,1,1,1,1,0|0,1,0,0
10021,2,,0|0,,0|0,,0|0,0|0,0|0,1,1,1,1,1,0|0,1,0,0
10022,1,,0|0,,0|0,,0|0,0|0,0|0,1,1,1,1,1,0|0,1,0,0
10023,2,,0|0,,0|0,,0|0,0|0,0|0,1,1,1,1,1,0|0,1,0,0
10025,2,,0|0,,0|0,,0|0,0|0,0|0,1,1,1,1,0.01,0|0,1,0,1
10026,2,,0|0,,0|0,,0|0,0|0,0|0,1,1,1,1,0.01,0|0,1,0,1
10027,2,,0|0,,0|0,,0|0,0|0,0|0,1,1,1,1,1,0|0,1,0,1
10028,2,,0|0,,0|0,,0|0,0|0,0|0,1,1,1,1,1,0|0,1,0,1
10029,2,,0|0,,0|0,,0|0,0|0,0|0,1,1,1,1,0.01,0|0,1,0,1
10030,1,,0|0,,0|0,,0|0,0|0,0|0,1,1,1,1,0.01,0|0,1,0,1
10031,2,,0|0,,0|0,,0|0,0|0,0|0,1,1,1,1,0.01,0|0,1,0,1
10032,2,,0|0,,0|0,,0|0,0|0,0|0,1,1,1,1,1,0|0,1,0,1
10033,2,,0|0,,0|0,,0|0,0|0,0|0,1,1,1,1,1,0|0,1,0,1
10034,0,,0|0,,0|0,,0|0,0|0,0|0,1,1,1,1,0.01,0|0,1,0,1
10035,2,,0|0,,0|0,,0|0,0|0,0|0,1,1,1,1,1,0|0,1,2,1
10036,1,,0|0,,0|0,,0|0,0|0,0|0,1,1,1,1,0.01,0|0,1,2,1
10037,0,,0|0,,0|0,,0|0,0|0,0|0,1,1,1,1,1,0|0,1,0,0
10038,0,,0|0,,0|0,,0|0,0|0,0|0,1,1,1,1,1,0|0,1,0,0
10039,2,,0|0,,0|0,,0|0,0|0,0|0,1,1,1,1,1,0|0,1,0,0
10040,2,,0|0,,0|0,,0|0,0|0,0|0,1,1,1,1,1,0|0,1,0,0
10041,2,,0|0,,0|0,,0|0,0|0,0|0,1,1,1,1,1,0|0,1,0,0
10042,1,,0|0,,0|0,,0|0,0|0,0|0,1,1,1,1,0.01,0|0,1,0,0
10043,1,,0|0,,0|0,,0|0,0|0,0|0,1,1,1,1,0.01,0|0,1,0,0
10044,2,,0|0,,0|0,,0|0,0|0,0|0,1,1,1,1,0.01,0|0,1,0,0
10045,1,,0|0,,0|0,,0|0,0|0,0|0,1,1,1,1,0.01,0|0,1,0,0
