id,videosToUnlock,order,ChallengeId,IAP,style,LicensedAssetType
10000,0,0,-1,,0,
10018,99,10,2025,,0,
10019,99,11,2025,,0,
10020,99,12,2025,,0,
10017,99,13,26041,,0,
10003,5,14,-1,,0,
10016,5,15,-1,,0,
10006,5,16,-1,,0,
10012,5,17,-1,,0,
10013,5,18,-1,,0,
10005,5,19,-1,,0,
10009,5,20,-1,,0,
10008,5,21,-1,,0,
10001,5,22,-1,,0,
10004,5,23,-1,,0,
10015,5,24,-1,,0,
10002,5,25,-1,,0,
10014,5,26,-1,,0,
20000,0,27,-1,,0,
20001,0,28,-1,,0,
20017,0,29,-1,,0,
20023,99,30,2025,,0,
20024,99,31,2025,,0,
20022,99,32,26041,,0,
20016,5,33,-1,,0,
20020,5,34,-1,,0,
20013,5,35,-1,,0,
20021,5,36,-1,,0,
20004,5,37,-1,,0,
20005,5,38,-1,,0,
20007,5,39,-1,,0,
20011,5,40,-1,,0,
20014,5,41,-1,,0,
20002,5,42,-1,,0,
20019,5,43,-1,,0,
20008,5,44,-1,,0,
20018,5,45,-1,,0,
10010,99,9,2512,,0,
20015,99,9,2512,,0,
20026,0,0,-1,,0,
10021,0,0,-1,,0,
10022,0,0,-1,,0,
10023,0,0,-1,,0,
10024,99,8,6,,0,
20027,99,8,6,,0,
10029,99,1,-1,,1,
10034,99,1,-1,,1,MonacoResourcePack
10035,5,2,104,,0,
20028,5,2,104,,0,
10025,99,3,777,,1,ManCityResourcePack
10026,99,3,777,,1,ManCityResourcePack
10030,99,3,777,,1,MonacoResourcePack
10031,99,3,777,,1,MonacoResourcePack
10036,99,3,777,mancity_limited_fl,1,ManCityResourcePack
10037,99,0,777,,1,
10039,99,0,777,,1,
20029,99,0,777,,0,ManCityResourcePack
10042,99,0,777,,1,
10043,99,0,777,,1,
10044,99,0,777,,1,
10045,99,0,777,,1,
20031,99,0,777,,0,
10038,99,0,1,,0,
20030,99,0,1,,0,
10040,99,2,666,,0,
10041,99,2,666,,0,
20032,99,2,666,,0,
20033,99,2,666,,0,
