Position,Rotation,LeagueSide,NationalSide,LeagueSideActive,NationalSideActive
-21.41|2.744|43.203,0|1|0|0,Neutral,Home,FALSE,TRUE
-40.18|0.58|49.36,0|1|0|0,Neutral,Neutral,TRUE,FALSE
23.27|2.712|43.7,0|1|0|0,Neutral,Away,FALSE,TRUE
38.58|0.58|50.91,0|1|0|0,Neutral,Neutral,TRUE,FALSE
64.21|1.1055|17.282,0|0.7071068|0|-0.7071068,Neutral,Away,FALSE,TRUE
64.27|1.08|10.27,0|0.7071068|0|-0.7071068,Neutral,Away,FALSE,TRUE
64.379|0.949|-17.626,-0.002544374|0.6684908|0.002024289|-0.7437134,Neutral,Away,FALSE,TRUE
65.08|1.18|-10.15,-0.002544374|0.6684908|0.002024289|-0.7437134,Neutral,Away,FALSE,TRUE
-64.51|1.24|9.5,0|0.7071068|0|0.7071068,Home,Home,TRUE,TRUE
-65.649|1.125|-9.53,0|0.7071068|0|0.7071068,Home,Home,TRUE,TRUE
-65.27|1.1145|17.3,0|0.7071068|0|0.7071068,Home,Home,TRUE,TRUE
-63.562|1.022|-17.484,0|0.7071068|0|0.7071068,Home,Home,TRUE,TRUE
75.63|7.24|-17.19,0|0.7071068|0|-0.7071068,Neutral,Away,FALSE,TRUE
73.1|6.297|-0.36,0|0.7071068|0|-0.7071068,Neutral,Away,FALSE,TRUE
69.77|4.94|-10.06,0|0.7071068|0|-0.7071068,Neutral,Away,FALSE,TRUE
79.27|8.29|11.01,0|0.7071068|0|-0.7071068,Neutral,Away,FALSE,TRUE
-75.13|6.658|16.9,0|0.7071068|0|0.7071068,Home,Home,TRUE,TRUE
-75.13|6.658|-11.21,0|0.7071068|0|0.7071068,Home,Home,TRUE,TRUE
-71.79|5.37|1.17,0|0.7071068|0|0.7071068,Home,Home,TRUE,TRUE
-83.649|9.631|-3.86,0|0.7071068|0|0.7071068,Home,Home,TRUE,TRUE
