Position,Rotation,LeagueSide,NationalSide,LeagueSideActive,NationalSideActive
-16.14|0.58|49.36,0|1|0|0,Home,Home,False,True
-40.18|0.58|49.36,0|1|0|0,Home,Home,False,True
14.68|0.58|49.36,0|1|0|0,Neutral,Away,False,True
38.58|0.58|50.91,0|1|0|0,Neutral,Away,False,True
68.58|0.58|21.12,0|0.7660445|0|-0.6427876,Neutral,Away,False,True
68.58|0.58|5.92,0|0.7372774|0|-0.6755902,Neutral,Away,False,True
68.58|0.58|-22,0|0.6293206|0|-0.7771458,Neutral,Away,False,True
68.58|0.58|-8.24,0|0.6755903|0|-0.7372773,Neutral,Away,False,True
-68.5|0.58|5.92,-0.001929534|0.7186754|-0.002616961|0.6953381,Home,Home,True,True
-68.5|0.58|-8.24,0|0.6755902|0|0.7372774,Home,Home,True,True
-68.5|0.58|21.12,0|0.7933534|0|0.6087614,Home,Home,True,True
-68.5|0.58|-22,0|0.6293204|0|0.777146,Home,Home,True,True
76.981|0.94|0,0|0.7071068|0|-0.7071068,Neutral,Away,False,True
76.981|0.94|14.42,0|0.7489559|0|-0.6626199,Neutral,Away,False,True
-78.15|1.45|-14.39,0|0.6427876|0|0.7660445,Home,Home,True,True
-76.544|1.128|15.341,0|0.7660444|0|0.6427876,Home,Home,True,True
