Position,Rotation,LeagueSide,NationalSide,LeagueSideActive,NationalSideActive
-21.41|2.744|52.58,0|1|0|0,Home,Home,True,True
-40.18|5.39|62.95,0|1|0|0,Home,Home,True,True
2.28|2.712|55.26,0|1|0|0,Home,Away,True,True
38.52|1.91|52.36,0|1|0|0,Home,Away,True,True
82.18|2.43|18.81,0|0.8280314|0|-0.5606816,Away,Away,True,True
84.97|2.13|4.41,-0.002544374|0.6684908|0.002024289|-0.7437134,Away,Away,True,True
80.19|2|-21.96,-0.002544374|0.6684908|0.002024289|-0.7437134,Away,Away,True,True
74.23|2.74|-33.05,-0.002544374|0.6684908|0.002024289|-0.7437134,Away,Away,True,True
-84.04|1.26|9.79,-0.001929534|0.7186754|-0.002616961|0.6953381,Home,Home,True,True
-84.09|2.34|-10.06,-0.001929534|0.7186754|-0.002616961|0.6953381,Home,Home,True,True
-80.69|3.42|22.85,0|0.5299113|0|0.8480531,Home,Home,True,True
-75.88|3.22|-29.24,-0.001929534|0.7186754|-0.002616961|0.6953381,Home,Home,True,True
