Position,Rotation,LeagueSide,NationalSide,LeagueSideActive,NationalSideActive
-37.78|2.744|52.58,0|1|0|0,Neutral,Home,False,True
-34.21|15.056|65.206,0|1|0|0,Neutral,Home,False,True
-10.8|2.712|55.26,0|1|0|0,Neutral,Home,False,True
38.52|1.91|52.36,0|1|0|0,Neutral,Away,False,True
74.83|4.453|17.59,0|0.7071068|0|-0.7071068,Neutral,Away,False,True
75.715|5.021|3.949,0|0.7071068|0|-0.7071068,Neutral,Away,False,True
72.03|2.86|-22.832,0|0.7071068|0|-0.7071068,Neutral,Away,False,True
73.73|3.745|-37.69,0|0.7071068|0|-0.7071068,Neutral,Away,False,True
-77.51|5.43|9.28,0|0.7071068|0|0.7071068,Home,Home,True,True
-73.84|3.91|-10.06,0|0.7071068|0|0.7071068,Home,Home,True,True
-75.482|4.809|22.85,0|0.7071068|0|0.7071068,Home,Home,True,True
-73.31|3.499|-29.24,0|0.7071068|0|0.7071068,Home,Home,True,True
12.68|1.91|52.36,0|1|0|0,Neutral,Away,False,True
22.756|17.173|70.665,0|1|0|0,Neutral,Away,False,True
70.461|2.001|-8.56,0|0.7071068|0|-0.7071068,Neutral,Away,False,True
-70.42|1.82|2.97,0|0.7071068|0|0.7071068,Home,Home,True,True
