Position,Rotation,LeagueSide,NationalSide,LeagueSideActive,NationalSideActive
-21.41|1.71|52.58,0|1|0|0,Neutral,Home,False,True
-40.18|5.39|62.95,0|0.9961947|0|0.08715588,Neutral,Home,False,True
-2.21|2.712|55.26,0|1|0|0,Neutral,Home,False,True
38.52|1.91|52.36,0|0.9945219|0|-0.1045284,Neutral,Away,False,True
82.18|2.43|18.81,0|0.8280314|0|-0.5606816,Neutral,Neutral,True,True
84.97|2.7|4.41,0|0.7071068|0|-0.7071068,Neutral,Away,False,True
80.19|2.79|-21.96,0|0.5|0|-0.8660254,Neutral,Away,False,True
74.23|2.74|-33.05,0|0.4226184|0|-0.9063077,Neutral,Away,False,True
-84.04|1.26|9.79,-0.001929534|0.7186754|-0.002616961|0.6953381,Neutral,Neutral,True,True
-84.09|2.68|-10.06,0|0.6427876|0|0.7660445,Home,Home,True,True
-80.69|3.14|22.85,0|0.8571673|0|0.5150381,Home,Home,True,True
-76.51|2.78|-29.58,0|0.5150381|0|0.8571674,Home,Home,True,True
21.65|2.87|55.95,0|1|0|0,Neutral,Away,False,True
87.38|4.932|22.22,0|0.8191521|0|-0.5735764,Neutral,Away,False,True
-73.8|3.281|35.8,0|0.9063079|0|0.4226183,Home,Home,True,True
