Position,Rotation,LeagueSide,NationalSide,LeagueSideActive,NationalSideActive
-16.12|4.86|49.3,0|1|0|0,Neutral,Home,False,True
-41.6|6.9|51.92,0|1|0|0,Neutral,Home,False,True
15.61|6.34|51.34,0|1|0|0,Neutral,Away,False,True
39.27|6.33|51.26,0|1|0|0,Neutral,Away,False,True
68.01|6.9|20.93,0|0.7071068|0|-0.7071068,Neutral,Away,False,True
68.04|6.89|6.73,0|0.7071068|0|-0.7071068,Neutral,Away,False,True
68.13|6.9|-22.01,0|0.7071068|0|-0.7071068,Neutral,Away,False,True
68.18|6.9|-8.25,0|0.7071068|0|-0.7071068,Neutral,Away,False,True
-68.069|6.9|6.32,0|0.7071068|0|0.7071068,Home,Home,True,True
-67.796|6.9|-8.327,0|0.7071068|0|0.7071068,Home,Home,True,True
-67.899|6.9|21.065,0|0.7071068|0|0.7071068,Home,Home,True,True
-68.117|6.9|-21.994,0|0.7071068|0|0.7071068,Home,Home,True,True
