Position,Rotation,LeagueSide,NationalSide,LeagueSideActive,NationalSideActive
-16.14|0.58|49.36,0|1|0|0,Neutral,Home,False,True
-40.18|0.58|49.36,0|1|0|0,Neutral,Home,False,True
14.68|0.58|49.36,0|1|0|0,Neutral,Away,False,True
38.58|0.58|50.91,0|1|0|0,Neutral,Away,False,True
68.58|0.58|21.12,0|0.7071068|0|-0.7071068,Neutral,Away,False,True
68.58|0.58|5.92,0|0.7071068|0|-0.7071068,Neutral,Away,False,True
68.58|0.58|-22,0|0.7071068|0|-0.7071068,Neutral,Away,False,True
68.58|0.58|-8.24,0|0.7071068|0|-0.7071068,Neutral,Away,False,True
-68.5|0.58|5.92,-0.001929534|0.7186754|-0.002616961|0.6953381,Home,Home,True,True
-68.5|0.58|-8.24,-0.001929534|0.7186754|-0.002616961|0.6953381,Home,Home,True,True
-68.5|0.58|21.12,0|0.7071068|0|0.7071068,Home,Home,True,True
-68.5|0.58|-22,0|0.7071068|0|0.7071068,Home,Home,True,True
75.47|6.93|-0.16,0|0.7071068|0|-0.7071068,Neutral,Away,False,True
74.5|6.38|10.67,0|0.7071068|0|-0.7071068,Neutral,Away,False,True
-79.95|4.01|13.21,0|0.7071068|0|0.7071068,Home,Home,True,True
-79.95|4.01|-25.35,0|0.7071068|0|0.7071068,Home,Home,True,True
