Position,Rotation,LeagueSide,NationalSide,LeagueSideActive,NationalSideActive
-21.41|0.037|50.76,0|1|0|0,Neutral,Neutral,True,True
-40.18|5.39|62.95,0|1|0|0,Neutral,Neutral,True,True
2.28|0.023|53.506,0|1|0|0,Neutral,Neutral,True,True
38.52|3.351|52.36,0|1|0|0,Neutral,Neutral,True,True
82.18|-0.016|18.81,0|0.8280314|0|-0.5606816,Neutral,Neutral,True,True
84.97|0.05|4.4,-0.002544374|0.6684908|0.002024289|-0.7437134,Neutral,Neutral,True,True
80.19|-0.027|-21.972,-0.002544374|0.6684908|0.002024289|-0.7437134,Neutral,Neutral,True,True
74.23|-0.01|-33.07,-0.002544374|0.6684908|0.002024289|-0.7437134,Neutral,Neutral,True,True
-84.04|0.22|9.8,-0.001929534|0.7186754|-0.002616961|0.6953381,Neutral,Neutral,True,True
-84.09|0.115|-10.05,-0.001929534|0.7186754|-0.002616961|0.6953381,Neutral,Neutral,True,True
-80.69|0.007|22.85,0|0.5299113|0|0.8480531,Neutral,Neutral,True,True
-75.881|-0.003|-29.215,-0.001929534|0.7186754|-0.002616961|0.6953381,Neutral,Neutral,True,True
