competitions,type,hasPlayerRankings
CompName_EnglishLeagueA,league,1
CompName_EnglishLeagueB,league,1
CompName_EnglishLeagueC,league,1
CompName_FrenchLeagueA,league,1
CompName_FrenchLeagueB,league,1
CompName_FrenchLeagueC,league,1
CompName_ItalianLeagueA,league,1
CompName_ItalianLeagueB,league,1
CompName_ItalianLeagueC,league,1
CompName_SpanishLeagueA,league,1
CompName_SpanishLeagueB,league,1
CompName_SpanishLeagueC,league,1
CompName_GermanLeagueA,league,1
CompName_GermanLeagueB,league,1
CompName_GermanLeagueC,league,1
CompName_BrazilLeagueA,league,1
CompName_BrazilLeagueB,league,1
CompName_BrazilLeagueC,league,1
CompName_ArgentinaLeagueA,league,1
CompName_ArgentinaLeagueB,league,1
CompName_ArgentinaLeagueC,league,1
CompName_JapanLeagueA,league,1
CompName_JapanLeagueB,league,1
CompName_JapanLeagueC,league,1
CompName_KoreanLeagueA,league,1
CompName_KoreanLeagueB,league,1
CompName_KoreanLeagueC,league,1
CompName_DutchLeagueA,league,1
CompName_DutchLeagueB,league,1
CompName_DutchLeagueC,league,1
CompName_IndonesianLeagueA,league,1
CompName_IndonesianLeagueB,league,1
CompName_IndonesianLeagueC,league,1
CompName_AmericanLeagueA,league,1
CompName_AmericanLeagueB,league,1
CompName_AmericanLeagueC,league,1
CompName_TurkishLeagueA,league,1
CompName_TurkishLeagueB,league,1
CompName_TurkishLeagueC,league,1
CompName_MexicanLeagueA,league,1
CompName_MexicanLeagueB,league,1
CompName_MexicanLeagueC,league,1
CompName_ThailandLeagueA,league,1
CompName_ThailandLeagueB,league,1
CompName_ThailandLeagueC,league,1
CompName_SaudiArabianLeagueA,league,1
CompName_SaudiArabianLeagueB,league,1
CompName_SaudiArabianLeagueC,league,1
CompName_PortugueseLeagueA,league,1
CompName_PortugueseLeagueB,league,1
CompName_PortugueseLeagueC,league,1
CompName_SouthAfricaLeagueA,league,1
CompName_SouthAfricaLeagueB,league,1
CompName_SouthAfricaLeagueC,league,1
CompName_EgyptianLeagueA,league,1
CompName_EgyptianLeagueB,league,1
CompName_EgyptianLeagueC,league,1
CompName_RussianLeagueA,league,1
CompName_RussianLeagueB,league,1
CompName_RussianLeagueC,league,1
CompName_ColombianLeagueA,league,1
CompName_ColombianLeagueB,league,1
CompName_ColombianLeagueC,league,1
CompName_IndianLeagueA,league,1
CompName_IndianLeagueB,league,1
CompName_IndianLeagueC,league,1
CompName_ScottishLeagueA,league,1
CompName_ScottishLeagueB,league,1
CompName_ScottishLeagueC,league,1
CompName_BelgianLeagueA,league,1
CompName_BelgianLeagueB,league,1
CompName_BelgianLeagueC,league,1
CompName_IranLeagueA,league,1
CompName_IranLeagueB,league,1
CompName_IranLeagueC,league,1
CompName_BangladeshLeagueA,league,1
CompName_MalaysiaLeagueA,league,1
CompName_VietnamLeagueA,league,1
CompName_EcuadorianLeagueA,league,1
CompName_GreekLeagueA,league,1
CompName_PeruvianLeagueA,league,1
CompName_MoroccanLeagueA,league,1
CompName_AlgerianLeagueA,league,1
CompName_ParaguayanLeagueA,league,1
CompName_CroatianLeagueA,league,1
CompName_VenezuelaLeagueA,league,1
CompName_USAWomenLeaugeA,league,1
CompName_ChineseLeagueA,league,1
ClubWorldCupNew,cup,1
ClubWorldCup,cup,0
EuropeanChampionshipCupNew,cup,1
EuropeanChampionshipCup,cup,1
EuropeanLeagueCup,cup,1
EuropaConferenceLeague,cup,1
EuropeanSuperCup,cup,0
SouthAmericanChampionshipCup,cup,1
SouthAmericanAssociationCup,cup,1
AfricanChampionshipCup,cup,1
AsianSuperChampionshipCup,cup,1
AsianChampionshipCup,cup,1
AsianLeagueCup,cup,1
AmericanChampionCup,cup,0
EnglishCup,cup,1
EnglishSuperCup,cup,0
FrenchCup,cup,1
FrenchSuperCup,cup,0
ItalianCup,cup,1
ItalianSuperCup,cup,0
SpanishCup,cup,1
SpanishSuperCup,cup,0
GermanCup,cup,1
GermanSuperCup,cup,0
BrazilCup,cup,1
BrazilSuperCup,cup,0
ArgentinaCup,cup,1
ArgentinaSuperCup,cup,0
JapanCup,cup,1
JapanSuperCup,cup,0
KoreanCup,cup,1
KoreanSuperCup,cup,0
DutchCup,cup,1
DutchSuperCup,cup,0
IndonesianCup,cup,1
IndonesianSuperCup,cup,0
AmericanLeagueCup,cup,1
AmericanSuperCup,cup,0
TurkishCup,cup,1
TurkishSuperCup,cup,0
MexicanCup,cup,1
MexicanSuperCup,cup,0
ThailandCup,cup,1
ThailandSuperCup,cup,0
SaudiArabianCup,cup,1
SaudiArabianSuperCup,cup,0
PortugueseCup,cup,1
PortugueseSuperCup,cup,0
SouthAfricaCup,cup,1
SouthAfricaSuperCup,cup,0
EgyptianCup,cup,1
EgyptianSuperCup,cup,0
RussianCup,cup,1
RussianSuperCup,cup,0
ColombianCup,cup,1
ColombianSuperCup,cup,0
IndianCup,cup,1
IndianSuperCup,cup,0
ScottishCup,cup,1
ScottishSuperCup,cup,0
BelgianCup,cup,1
BelgianSuperCup,cup,0
IranCup,cup,1
IranSuperCup,cup,0
BangladeshCup,cup,1
BangladeshSuperCup,cup,0
MalaysiaCup,cup,1
MalaysiaSuperCup,cup,0
VietnamCup,cup,1
VietnamSuperCup,cup,0
EcuadorianCup,cup,1
EcuadorianSuperCup,cup,0
GreekCup,cup,1
GreekSuperCup,cup,0
PeruvianCup,cup,1
PeruvianSuperCup,cup,0
MoroccanCup,cup,1
MoroccanSuperCup,cup,0
AlgerianCup,cup,1
AlgerianSuperCup,cup,0
ParaguayanCup,cup,1
ParaguayanSuperCup,cup,0
CroatianCup,cup,1
CroatianSuperCup,cup,0
VenezuelaCup,cup,1
VenezuelaSuperCup,cup,0
USAWomenCup,cup,1
USAWomenSuperCup,cup,0
ChineseLeagueCup,cup,1
ChineseLeagueSuperCup,cup,0
worldCup,nationalCup,0
EuropeanCup,nationalCup,0
AmericanCup,nationalCup,0
AfricanCup,nationalCup,0
AsianCup,nationalCup,0
AmericanGoldCup,nationalCup,1
EuropeanNationsLeague,nationalCup,0
worldCup_W,nationalCup,0
EuropeanCup_W,nationalCup,0
