id,name,classification,fifaRank,weight
10001,Str_National_Brazil,South America,5,100
10002,Str_National_Algeria,Africa,35,50
10003,Str_National_Argentina,South America,2,100
10004,Str_National_Australia,Asia,26,40
10005,Str_National_Belgium,Europe,8,100
10006,Str_National_Bosnia_and_Herzegovina,Europe,71,30
10007,Str_National_Cameroon,Africa,57,25
10008,Str_National_Chile,South America,53,40
10009,Str_National_Colombia,South America,13,60
10010,Str_National_Costa_Rica,North America,49,30
10011,Str_National_Croatia,Europe,10,80
10012,Str_National_Denmark,Europe,21,60
10013,Str_National_Ecuador,South America,23,40
10014,Str_National_Egypt,Africa,34,50
10015,Str_National_England,Europe,4,100
10016,Str_National_France,Europe,3,100
10017,Str_National_Germany,Europe,9,90
10018,Str_National_Ghana,Africa,72,20
10019,Str_National_Greece,Europe,46,30
10020,Str_National_Honduras,North America,64,15
10021,Str_National_Iceland,Europe,74,25
10022,Str_National_Iran,Asia,20,60
10023,Str_National_Italy,Europe,12,80
10024,Str_National_Ivory_Coast,Africa,42,40
10025,Str_National_Japan,Asia,18,60
10026,Str_National_Mexico,North America,15,70
10027,Str_National_Morocco,Africa,11,70
10028,Str_National_Netherlands,Europe,7,100
10029,Str_National_Nigeria,Africa,38,50
10030,Str_National_Panama,North America,30,30
10031,Str_National_Peru,South America,52,40
10032,Str_National_Poland,Europe,31,50
10033,Str_National_Portugal,Europe,6,90
10034,Str_National_Russia,Europe,33,60
10035,Str_National_Saudi_Arabia,Asia,60,50
10036,Str_National_Senegal,Africa,19,60
10037,Str_National_Serbia,Europe,37,50
10038,Str_National_South_Korea,Asia,22,60
10039,Str_National_Spain,Europe,1,100
10040,Str_National_Switzerland,Europe,17,60
10041,Str_National_Sweden,Europe,43,50
10042,Str_National_Tunisia,Africa,40,40
10043,Str_National_United_States,North America,14,50
10044,Str_National_Uruguay,South America,16,50
10045,Str_National_Qatar,Asia,51,50
10046,Str_National_Canada,North America,27,30
10047,Str_National_South_Africa,Africa,61,25
10048,Str_National_Slovenia,Europe,55,30
10049,Str_National_Paraguay,South America,39,30
10050,Str_National_Slovakia,Europe,45,30
10051,Str_National_New_Zealand,Oceania,86,5
10052,Str_National_North_Korea,Asia,120,10
10054,Str_National_Trinidad_and_Tobago,North America,98,5
10055,Str_National_Angola,Africa,89,15
10056,Str_National_Czech_Republic,Europe,44,40
10057,Str_National_Togo,Africa,124,5
10058,Str_National_Ukraine,Europe,28,50
10059,Str_National_China,Asia,93,15
10060,Str_National_Turkey,Europe,25,50
10061,Str_National_Ireland,Europe,59,15
10062,Str_National_Norway,Europe,29,30
10063,Str_National_Scotland,Europe,36,40
10064,Str_National_Austria,Europe,24,60
10065,Str_National_Bulgaria,Europe,88,15
10066,Str_National_Romania,Europe,47,25
10067,Str_National_Jamaica,North America,70,30
10068,Str_National_Venezuela,South America,48,30
10069,Str_National_Bolivia,South America,76,15
10070,Str_National_Wales,Europe,32,50
10071,Str_National_Finland,Europe,75,30
10072,Str_National_FYR_MACEDONIA,Europe,65,20
10073,Str_National_Hungary,Europe,41,50
10074,Str_National_Albania,Europe,63,20
10075,Str_National_NORTHERN_IRELAND,Europe,69,15
10076,Str_National_Latvia,Europe,140,5
10077,Str_National_United_Arab_Emirates,Asia,67,15
10078,Str_National_Thailand,Asia,95,5
10079,Str_National_Bahrain,Asia,91,15
10080,Str_National_India,Asia,142,5
10081,Str_National_Jordan,Asia,66,20
10082,Str_National_Palestine,Asia,96,10
10083,Str_National_Syria,Asia,87,15
10084,Str_National_Kyrgyzstan,Asia,104,10
10085,Str_National_Philippines,Asia,136,5
10086,Str_National_Yemen,Asia,148,5
10087,Str_National_Vietnam,Asia,110,10
10088,Str_National_Iraq,Asia,58,20
10089,Str_National_Lebanon,Asia,107,10
10090,Str_National_Turkmenistan,Asia,137,5
10091,Str_National_Oman,Asia,79,15
10092,Str_National_Uzbekistan,Asia,50,20
10093,Str_National_Kuwait,Asia,135,5
10094,Str_National_Malaysia,Asia,116,5
10095,Str_National_Indonesia,Asia,122,5
10096,Str_National_Burkina_Faso,Africa,62,25
10097,Str_National_Cape_Verde,Africa,68,20
10098,Str_National_Ethiopia,Africa,147,5
10099,Str_National_Guinea,Africa,81,20
10100,Str_National_Malawi,Africa,126,5
10101,Str_National_Zimbabwe,Africa,129,5
10102,Str_National_Gabon,Africa,78,20
10103,Str_National_Comoros,Africa,108,5
10104,Str_National_Sudan,Africa,118,5
10105,Str_National_Guinea_Bissau,Africa,133,5
10106,Str_National_Equatorial_Guinea,Africa,97,15
10107,Str_National_Sierra_Leone,Africa,121,5
10108,Str_National_Mali,Africa,54,25
10109,Str_National_Gambia,Africa,117,5
10110,Str_National_Mauritania,Africa,114,5
10111,Str_National_Uganda,Africa,85,15
10112,Str_National_DR_CONGO,Africa,56,25
10113,Str_National_Madagascar,Africa,105,5
10114,Str_National_Burundi,Africa,145,5
10115,Str_National_Kenya,Africa,113,5
10116,Str_National_Tanzania,Africa,112,5
10117,Str_National_Namibia,Africa,119,5
10118,Str_National_Benin,Africa,92,15
10119,Str_National_Zambia,Africa,90,15
10120,Str_National_CONGO,Africa,134,5
10121,Str_National_Niger,Africa,109,5
10122,Str_National_El_Salvador,North America,100,15
10123,Str_National_Guatemala,North America,94,5
10124,Str_National_Haiti,North America,84,15
10125,Str_National_Martinique,North America,1000,5
10126,Str_National_Suriname,North America,123,5
10127,Str_National_Guadeloupe,North America,999,5
10128,Str_National_Grenada,North America,164,5
10129,Str_National_Cuba,North America,166,10
10130,Str_National_Bermuda,North America,169,5
10131,Str_National_Nicaragua,North America,132,5
10132,Str_National_Curacao,North America,82,15
10133,Str_National_Guyana,North America,150,5
10134,Str_National_French_guiana,North America,998,5
10135,Str_National_Belize,North America,181,5
10136,Str_National_Tajikistan,Asia,101,10
10137,Str_National_China_Hong_Kong,Asia,153,5
10138,Str_National_Bangladesh,Asia,180,5
10139,Str_National_Myanmar,Asia,163,5
10140,Str_National_Pakistan,Asia,199,5
10141,Str_National_Libya,Africa,111,5
10142,Str_National_Mozambique,Africa,102,5
10143,Str_National_Saint_Kitts_and_Nevis,North America,154,5
10144,Str_National_Israel,Europe,77,5
10145,Str_National_Kazakhstan,Europe,115,5
10146,Str_National_Rwanda,Africa,131,5
10155,Str_National_San_Marino,Europe,210,5
10156,Str_National_Georgia,Europe,73,5
10157,Str_National_Belarus,Europe,99,5
10158,Str_National_Afghanistan,Asia,162,5
10159,Str_National_Singapore,Asia,151,5
10161,Str_National_Montenegro,Europe,83,5
10162,Str_National_Luxembourg,Europe,103,5
10163,Str_National_Armenia,Europe,106,5
10164,Str_National_Kosovo,Europe,80,5
10165,Str_National_Azerbaijan,Europe,127,5
10166,Str_National_Estonia,Europe,130,5
10167,Str_National_Cyprus,Europe,128,5
10168,Str_National_Faroe_Islands,Europe,125,5
10169,Str_National_Lithuania,Europe,146,5
10170,Str_National_Moldova,Europe,158,5
10171,Str_National_Andorra,Europe,172,5
10172,Str_National_Malta,Europe,161,5
10173,Str_National_Liechtenstein,Europe,205,5
10174,Str_National_Gibraltar,Europe,202,5
10175,Str_National_CHINESE_TAIPEI,Asia,174,5
10176,Str_National_Maldives,Asia,173,5
10177,Str_National_Nepal,Asia,182,5
10178,Str_National_Cambodia,Asia,179,5
10179,Str_National_Bhutan,Asia,192,5
10180,Str_National_CHINA_MACAO,Asia,193,5
10181,Str_National_Laos,Asia,187,5
10182,Str_National_Mongolia,Asia,185,5
10183,Str_National_Brunei,Asia,189,5
10184,Str_National_TIMOR_LESTE,Asia,198,5
10185,Str_National_Sri_Lanka,Asia,194,5
10186,Str_National_Guam,Asia,201,5
10187,Str_National_Central_African_Republic,Africa,139,5
10188,Str_National_Botswana,Africa,138,5
10189,Str_National_Swaziland,Africa,159,5
10190,Str_National_Lesotho,Africa,144,5
10191,Str_National_Liberia,Africa,141,5
10192,Str_National_South_Sudan,Africa,168,5
10193,Str_National_Chad,Africa,177,5
10194,Str_National_Mauritius,Africa,176,5
10195,Str_National_Sao_Tome_and_Principe,Africa,190,5
10196,Str_National_Djibouti,Africa,196,5
10197,Str_National_Seychelles,Africa,203,5
10198,Str_National_Somalia,Africa,200,5
10199,Str_National_Antigua_and_Barbuda,North America,165,5
10200,Str_National_Dominican_Republic,North America,143,5
10201,Str_National_Puerto_Rico,North America,156,5
10202,Str_National_Saint_Lucia,North America,167,5
10203,Str_National_Saint_Vincent_and_the_Grenadines,North America,171,5
10204,Str_National_Barbados,North America,178,5
10205,Str_National_Solomon_Islands,Oceania,152,5
10206,Str_National_New_Caledonia,Oceania,149,5
10207,Str_National_Tahiti,Oceania,157,5
10208,Str_National_Papua_New_Guinea,Oceania,170,5
10209,Str_National_Fiji,Oceania,155,5
