id,Unnamed: 2,Turkishname,Polishname
100015,,Ferda,
100186,,Sançez,
100531,,Beyza,
100533,ج. كونر,,
100712,,,Szcząsny
100713,,,Rebus
100714,,,Lawandowski
100715,,,Skarupski
100716,,,Gik
100717,,,Klech
100718,,,Krechowiak
100719,,,Boroszyński
100720,,,Malik
100721,,,Kądziora
100722,,,Zialiński
100723,,,Rinetty
100724,,,Augustaniak
100725,,,Halik
100726,,,Berdnarek
100727,,,Świdarski
100728,,,Józwiek
100729,,,Majacki
100730,,,Szymeński
100731,,,Puhacz
100732,,,Modar
100733,,,Piętkowski
100734,,,Kozławski
100735,رونالتو,,
100988,,Musera,
101361,,S. Nuran,
101506,,Nito,
102128,,N.Uysar,
102143,,Mahmud,
102146,,Aleksi,
102168,,Nelson,
102226,,,Bechniewicz
103292,,,Fabieński
103379,,,Jech
103417,,C. Tos,
103481,,Raşika,
103549,,,Bialik
103638,,Ündel,
103674,,,Bałka
103741,,,Fela
103774,,Bernadoni,
103879,,Zerneli,
103897,,,Frenkowski
104042,,,Raca
104106,,,Jegiello
104151,,,Taodorczyk
104189,,,Żarkowski
104204,,,Dręgowski
104238,,,Dewidowicz
104291,,,Jeroszyński
104294,,,Dziaczek
104771,,,Łebojko
104840,,,Kemiński
104927,,,Piętek
104974,,Şindler,
104975,,Gikewikz,Gakiewicz
104986,,,Gamny
105062,,,Wszałek
105132,,,Badzek
105142,,,Kawnacki
105145,,,Pietrowski
106879,,,Zelewski
107010,,Koli,
107558,,,Preszelik
107588,,,Jegiello
107593,,Yasin,
107606,,,Welukiewicz
107635,,,Stąpiński
107639,,,Kawior
107649,,,Waśniewski
107684,,,Banedyczak
107915,,Pinçi,
108164,,,Płechata
108172,,,Bialik
108238,,,Biełkowski
108651,,,Dźwigeła
108761,,,T. Conek
108861,,,Szymeński
108876,,,Perzyszek
109285,,Metin,
109301,,,Lastkowski
109490,,,Kabylański
109588,,,Mrawca
109621,,,Kepacz
109648,,,Blecha
109650,,,Piassek
109668,,,Ziatarski
110638,المعيوف,,
110639,الدساري,,
110640,البليجي,,
110641,جافالي,,
110642,عبد الحماد,,
110643,كويلار,,
110644,الفراش,,
110645,فيتو,,
110646,الدساري,,
110647,كاريليو,,
110648,ماريجو,,
110649,الويس,,
110650,جينج,,
110651,المفرج,,
110652,الشهراني,,
110653,البورايق,,
110654,م. كين,,
110655,أ. مالكي,,
110656,مايكل,,
110657,إجالو,,
110929,,,Kemiński
111125,,,Malik
111183,,,Welukiewicz
111209,,Onan,
111214,,,Paręba
111258,,,Wietaska
111468,,,Kash
111469,,,Gamny
111470,,,Jądrzejczyk
111471,,,Grasicki
111472,,,Krechowiak
111473,,,Skóreś
111474,,,Szymeński
113013,الماليكيم,,
113014,فايك,,
113015,هانزيل,,
113016,الحافظ,,
113017,الأسابي,,
113018,مرجبان,,
113019,كاوم,,
113020,الأمين,,
113021,المجاز,,
113022,المغاد,,
113023,بوديبوز,,
113024,الريان,,
113025,الحكيم,,
113026,الزبان,,
113027,السبياني,,
113028,كارامير,,
113029,الأسدي,,
113030,الملخض,,
113031,المشتاق,,
113032,الغزالي,,
113033,عبداللي,,
113323,,Nsonzi,
113643,اسبينا,,
113644,كنعان,,
113645,مدني,,
113646,الفارو,,
113647,العزمي,,
113648,الخطامي,,
113649,جوستافيو,,
113650,تاليسكا,,
113651,النادري,,
113652,يمان,,
113653,أبو بكر,,
113654,الفخر,,
113655,الوجداني,,
113656,الفواز,,
113657,قصيد,,
113658,الغناوي,,
113659,الحسني,,
113660,السالمي,,
113661,مشاريبوف,,
113662,أسرار,,
113663,الغرام,,
113664,جروه,,
113665,حاجزي,,
113666,حازيوي,,
113667,بامساودي,,
113668,كورونايدو,,
113669,حميد,,
113670,الودود,,
113671,الأيان,,
