Nation,1,2,3,4,5,6,7,8,9,10,11,12,"1(spring:0,summer:1,autumn:2,winter:3)",2.1,3.1,4.1,5.1,6.1,7.1,8.1,9.1,10.1,11.1,12.1
Brazil,"cloudless:23,cloudy:20,rain:57,snow:0","cloudless:26,cloudy:28,rain:46,snow:0","cloudless:30,cloudy:22,rain:48,snow:0","cloudless:50,cloudy:18,rain:32,snow:0","cloudless:57,cloudy:17,rain:26,snow:0","cloudless:57,cloudy:26,rain:17,snow:0","cloudless:60,cloudy:22,rain:18,snow:0","cloudless:63,cloudy:20,rain:17,snow:0","cloudless:55,cloudy:15,rain:30,snow:0","cloudless:40,cloudy:27,rain:33,snow:0","cloudless:50,cloudy:33,rain:17,snow:0","cloudless:25,cloudy:15,rain:60,snow:0",0,0,0,0,2,2,2,1,1,1,0,0
England,"cloudless:31,cloudy:47,rain:16,snow:5","cloudless:35,cloudy:39,rain:26,snow:0","cloudless:37,cloudy:40,rain:23,snow:0","cloudless:44,cloudy:34,rain:22,snow:0","cloudless:46,cloudy:32,rain:22,snow:0","cloudless:51,cloudy:22,rain:27,snow:0","cloudless:57,cloudy:21,rain:22,snow:0","cloudless:54,cloudy:25,rain:21,snow:0","cloudless:50,cloudy:27,rain:23,snow:0","cloudless:42,cloudy:28,rain:30,snow:0","cloudless:32,cloudy:38,rain:30,snow:0","cloudless:28,cloudy:42,rain:30,snow:0",3,3,0,0,0,1,1,1,2,2,2,3
France,"cloudless:11,cloudy:50,rain:25,snow:14","cloudless:15,cloudy:57,rain:20,snow:8","cloudless:18,cloudy:58,rain:24,snow:0","cloudless:21,cloudy:57,rain:22,snow:0","cloudless:22,cloudy:48,rain:30,snow:0","cloudless:27,cloudy:47,rain:26,snow:0","cloudless:33,cloudy:44,rain:23,snow:0","cloudless:32,cloudy:48,rain:20,snow:0","cloudless:30,cloudy:47,rain:23,snow:0","cloudless:18,cloudy:56,rain:26,snow:0","cloudless:12,cloudy:62,rain:26,snow:0","cloudless:10,cloudy:52,rain:28,snow:10",3,3,3,0,0,1,1,1,2,2,3,3
Italy,"cloudless:35,cloudy:38,rain:13,snow:14","cloudless:35,cloudy:48,rain:15,snow:2","cloudless:35,cloudy:47,rain:17,snow:1","cloudless:30,cloudy:40,rain:30,snow:0","cloudless:28,cloudy:39,rain:33,snow:0","cloudless:36,cloudy:34,rain:30,snow:0","cloudless:53,cloudy:25,rain:22,snow:0","cloudless:50,cloudy:25,rain:25,snow:0","cloudless:42,cloudy:33,rain:25,snow:0","cloudless:32,cloudy:41,rain:27,snow:0","cloudless:30,cloudy:45,rain:25,snow:0","cloudless:35,cloudy:38,rain:13,snow:14",3,3,0,0,0,1,1,1,1,2,3,3
Spain,"cloudless:31,cloudy:47,rain:16,snow:5","cloudless:35,cloudy:37,rain:16,snow:2","cloudless:36,cloudy:50,rain:14,snow:0","cloudless:35,cloudy:44,rain:21,snow:0","cloudless:38,cloudy:40,rain:22,snow:0","cloudless:50,cloudy:37,rain:13,snow:0","cloudless:76,cloudy:20,rain:4,snow:0","cloudless:65,cloudy:29,rain:6,snow:0","cloudless:45,cloudy:45,rain:10,snow:0","cloudless:33,cloudy:49,rain:18,snow:0","cloudless:32,cloudy:48,rain:20,snow:0","cloudless:30,cloudy:48,rain:17,snow:5",3,3,0,0,0,1,1,1,1,2,2,3
Germany,"cloudless:11,cloudy:44,rain:15,snow:20","cloudless:14,cloudy:52,rain:22,snow:12","cloudless:18,cloudy:57,rain:17,snow:8","cloudless:22,cloudy:62,rain:16,snow:0","cloudless:27,cloudy:49,rain:24,snow:0","cloudless:27,cloudy:46,rain:27,snow:0","cloudless:28,cloudy:44,rain:28,snow:0","cloudless:28,cloudy:47,rain:25,snow:0","cloudless:27,cloudy:53,rain:20,snow:0","cloudless:20,cloudy:60,rain:20,snow:0","cloudless:10,cloudy:60,rain:19,snow:11","cloudless:8,cloudy:45,rain:27,snow:20",3,3,0,0,0,1,1,1,2,2,2,3
Argentina,"cloudless:55,cloudy:15,rain:30,snow:0","cloudless:51,cloudy:15,rain:34,snow:0","cloudless:51,cloudy:20,rain:29,snow:0","cloudless:44,cloudy:30,rain:26,snow:0","cloudless:33,cloudy:46,rain:21,snow:0","cloudless:31,cloudy:50,rain:19,snow:0","cloudless:33,cloudy:49,rain:18,snow:0","cloudless:38,cloudy:44,rain:18,snow:0","cloudless:40,cloudy:39,rain:21,snow:0","cloudless:42,cloudy:28,rain:30,snow:0","cloudless:48,cloudy:22,rain:30,snow:0","cloudless:53,cloudy:15,rain:32,snow:0",1,1,2,2,2,3,3,3,0,0,0,1
Indonesia,"cloudless:4,cloudy:22,rain:74,snow:0","cloudless:4,cloudy:26,rain:70,snow:0","cloudless:6,cloudy:34,rain:60,snow:0","cloudless:7,cloudy:39,rain:54,snow:0","cloudless:10,cloudy:48,rain:42,snow:0","cloudless:17,cloudy:57,rain:26,snow:0","cloudless:20,cloudy:57,rain:23,snow:0","cloudless:21,cloudy:61,rain:18,snow:0","cloudless:17,cloudy:59,rain:24,snow:0","cloudless:10,cloudy:53,rain:37,snow:0","cloudless:5,cloudy:36,rain:59,snow:0","cloudless:4,cloudy:34,rain:62,snow:0",2,2,2,2,2,2,2,2,2,2,2,2
United_States,"cloudless:40,cloudy:30,rain:20,snow:10","cloudless:40,cloudy:30,rain:20,snow:10","cloudless:40,cloudy:30,rain:25,snow:5","cloudless:40,cloudy:30,rain:30,snow:0","cloudless:40,cloudy:30,rain:30,snow:0","cloudless:40,cloudy:25,rain:35,snow:0","cloudless:45,cloudy:20,rain:35,snow:0","cloudless:50,cloudy:15,rain:35,snow:0","cloudless:55,cloudy:20,rain:25,snow:0","cloudless:55,cloudy:20,rain:25,snow:0","cloudless:45,cloudy:30,rain:25,snow:0","cloudless:40,cloudy:35,rain:20,snow:5",3,3,3,0,0,0,1,1,1,2,2,2
Turkey,"cloudless:30,cloudy:40,rain:25,snow:5","cloudless:30,cloudy:45,rain:20,snow:5","cloudless:35,cloudy:40,rain:25,snow:0","cloudless:45,cloudy:35,rain:20,snow:0","cloudless:55,cloudy:30,rain:15,snow:0","cloudless:75,cloudy:10,rain:15,snow:0","cloudless:90,cloudy:5,rain:5,snow:0","cloudless:85,cloudy:8,rain:7,snow:0","cloudless:70,cloudy:15,rain:15,snow:0","cloudless:45,cloudy:35,rain:20,snow:0","cloudless:40,cloudy:35,rain:25,snow:0","cloudless:30,cloudy:35,rain:30,snow:5",3,3,0,0,0,1,1,1,2,2,2,3
Mexico,"cloudless:50,cloudy:45,rain:5,snow:0","cloudless:55,cloudy:40,rain:5,snow:0","cloudless:55,cloudy:40,rain:5,snow:0","cloudless:45,cloudy:40,rain:15,snow:0","cloudless:35,cloudy:35,rain:30,snow:0","cloudless:15,cloudy:15,rain:70,snow:0","cloudless:5,cloudy:20,rain:75,snow:0","cloudless:5,cloudy:20,rain:75,snow:0","cloudless:5,cloudy:25,rain:70,snow:0","cloudless:15,cloudy:50,rain:35,snow:0","cloudless:35,cloudy:55,rain:10,snow:0","cloudless:35,cloudy:60,rain:5,snow:0",3,0,0,1,1,1,2,2,2,2,2,2
