id,name,nation,A,B,C,D,type
20438,EgyptianLeagueA_AlAhlySC,Egypt,700,200,100,100,African
20906,EgyptianLeagueA_PyramidsFC,Egypt,150,200,100,100,African
20907,EgyptianLeagueA_ZamalekSC,Egypt,150,200,100,100,African
20909,EgyptianLeagueA_ElMasrySC,Egypt,1,100,100,100,African
20998,MoroccanLeagueA_WydadCasablanca,Morocco,300,200,100,100,African
20999,MoroccanLeagueA_RajaClubAthletic,Morocco,200,200,100,100,African
30001,MoroccanLeagueA_RenaissancedeBerkane,Morocco,100,200,100,100,African
30002,AlgerianLeagueA_CRBelouizdad,Algeria,300,200,100,100,African
30003,AlgerianLeagueA_JSKabylie,Algeria,200,200,100,100,African
30004,AlgerianLeagueA_USMAlger,Algeria,100,200,100,100,African
20851,SouthAfricaLeagueA_MamelodiSundownsFC,South_Africa,700,200,100,100,African
20852,SouthAfricaLeagueA_OrlandoPirates,South_Africa,150,200,100,100,African
20853,SouthAfricaLeagueA_KaizerChiefs,South_Africa,150,200,100,100,African
20854,SouthAfricaLeagueA_AmaZuluFC,South_Africa,1,100,100,100,African
20444,TunisianLeagueA_ESTunis,Tunisia,300,200,100,100,African
30005,TunisianLeagueA_EtoileSportiveduSahel,Tunisia,200,200,100,100,African
30006,TunisianLeagueA_USMonastir,Tunisia,100,200,100,100,African
30007,TanzanianLeagueA_SimbaSC,Tanzania,300,200,100,100,African
30008,TanzanianLeagueA_YoungAfricansSC,Tanzania,200,200,100,100,African
30009,TanzanianLeagueA_NamungoFC,Tanzania,100,200,100,100,African
30010,DRCongoLeagueA_TPMazembe,DR_CONGO,300,200,100,100,African
30011,DRCongoLeagueA_ASVitaClubKinshasa,DR_CONGO,200,200,100,100,African
30012,DRCongoLeagueA_FCSaintEloiLupopo,DR_CONGO,100,200,100,100,African
30013,AngolanLeagueA_CAPetróleosLuanda,Angola,300,200,100,100,African
30014,AngolanLeagueA_CD1ºdeAgosto,Angola,200,200,100,100,African
30015,AngolanLeagueA_AcadémicaPetróleosdoLobito,Angola,100,200,100,100,African
30016,SudanLeagueA_Al-HilalClub(Omdurman),Sudan,300,300,100,100,African
30017,SudanLeagueA_Al-MerrikhSC,Sudan,200,200,100,100,African
30018,LibyaLeagueA_AlAhliSC(Tripoli),Libya,300,300,100,100,African
30019,LibyaLeagueA_Al-IttihadClub(Tripoli),Libya,200,200,100,100,African
30020,LibyaLeagueA_Al-HilalSC(Benghazi),Libya,100,100,100,100,African
30021,Ivory_CoastLeagueA_ASECMimosas,Ivory_Coast,1,1,1,1,African
30022,NigerianLeagueA_EnyimbaAba,Nigeria,1,1,1,1,African
30023,NigerianLeagueA_EnuguRangersIFC,Nigeria,1,1,1,1,African
30024,GuineaLeagueA_HoroyaAC,Guinea,1,1,1,1,African
30025,CameroonLeagueA_CotonSportFCdeGaroua,Cameroon,1,1,1,1,African
30026,ZambianLeagueA_ZanacoFC,Zambia,1,1,1,1,African
30027,ZambianLeagueA_NkanaFC,Zambia,1,1,1,1,African
30028,CongoLeagueA_DiablesNoirsBrazzaville,CONGO,1,1,1,1,African
30029,CongoLeagueA_ASOtôho,CONGO,1,1,1,1,African
30030,MaliLeagueA_ASRealBamako,Mali,1,1,1,1,African
30031,MaliLeagueA_StadeMalien,Mali,1,1,1,1,African
30032,TogoleseLeagueA_ASKOKara,Togo,1,1,1,1,African
30033,UgandanLeagueA_VipersSC,Uganda,1,1,1,1,African
30034,BotswanLeagueA_JwanengGalaxyFC,Botswana,1,1,1,1,African
30035,GhanaLeagueA_MedeamaSC,Ghana,1,1,1,1,African
30036,GhanaLeagueA_DreamsFC,Ghana,1,1,1,1,African
30037,MauritanianLeagueA_FCNouadhibou,Mauritania,1,1,1,1,African
30038,EswatiniLeagueA_RoyalLeopardsSimunye,Eswatini,1,1,1,1,African
30039,KenyaLeagueA_GorMahiaNairobi,Kenya,1,1,1,1,African
