id,name,nation,A,B,C,D,type
20587,HaitianLeagueA_CavalyAS,Haiti,1,500,500,1000,North_American
20598,HondurasLeagueA_C.D.Olimpia,Honduras,100,500,500,1000,North_American
20599,HondurasLeagueA_C.D.Marathón,Honduras,100,500,500,1000,North_American
20592,CostaRicaLeagueA_DeportivoSaprissa,Costa_Rica,1,500,500,1000,North_American
20593,CostaRicaLeagueA_SantosdeGuápilesF.C.,Costa_Rica,1,500,500,1000,North_American
20597,CostaRicaLeagueA_Alajuelense,Costa_Rica,1,500,500,1000,North_American
20604,CostaRicaLeagueA_A.D.SanCarlos,Costa_Rica,1,500,500,1000,North_American
20605,ElSalvadorLeagueA_AlianzaF.C.,El_Salvador,1,1,500,1000,North_American
20588,GuatemalaLeagueA_ComunicacionesF.C.,Guatemala,1,1,500,1000,North_American
20589,GuatemalaLeagueA_C.D.Guastatoya,Guatemala,1,1,500,1000,North_American
20596,DominicanRepublicLeagueA_AtléticoPantoja,Dominican_Republic,1,1,1,2000,North_American
20601,NicaraguaLeagueA_RealEstelíFC,Nicaragua,1,1,1,2000,North_American
20603,JamaicaLeagueA_PortmoreUnitedF.C.,Jamaica,1,1,1,2000,North_American
20583,MexicanLeagueA_ClubLeón,Mexico,200,1000,1500,200,North_American
20584,MexicanLeagueA_CruzAzul,Mexico,200,1000,1500,200,North_American
20585,MexicanLeagueA_ClubUniversidadNacional,Mexico,200,1000,1500,200,North_American
20586,MexicanLeagueA_SantosLaguna,Mexico,200,1000,1500,200,North_American
20595,MexicanLeagueA_ClubAmérica,Mexico,200,1000,1500,200,North_American
20644,MexicanLeagueA_C.F.Pachuca,Mexico,200,1000,1500,200,North_American
20654,MexicanLeagueA_AtlasF.C.,Mexico,200,1000,1500,200,North_American
20439,MexicanLeagueA_C.F.Monterrey,Mexico,200,1000,1500,200,North_American
20441,MexicanLeagueA_TigresUANL,Mexico,200,1000,1500,200,North_American
20447,MexicanLeagueA_C.D.Guadalajara,Mexico,200,1000,1500,200,North_American
20569,MajorLeagueA_LosAngelesFC,United_States,200,1000,1500,200,North_American
20555,MajorLeagueA_PhiladelphiaUnion,United_States,200,1000,1500,200,North_American
20561,MajorLeagueA_OrlandoCitySC,United_States,200,1000,1500,200,North_American
20570,MajorLeagueA_AustinFC,United_States,200,1000,1500,200,North_American
20557,MajorLeagueA_NewYorkCityFC,United_States,200,1000,1500,200,North_American
20564,MajorLeagueA_NewEnglandRevolution,United_States,200,1000,1500,200,North_American
20578,MajorLeagueA_ColoradoRapids,United_States,200,1000,1500,200,North_American
20579,MajorLeagueA_SeattleSoundersFC,United_States,200,1000,1500,200,North_American
20562,MajorLeagueA_ColumbusCrew,United_States,200,1000,1500,200,North_American
20576,MajorLeagueA_PortlandTimbers,United_States,200,1000,1500,200,North_American
20565,MajorLeagueA_AtlantaUnitedFC,United_States,200,1000,1500,200,North_American
20567,MajorLeagueA_TorontoFC,Canada,200,500,500,200,North_American
20556,MajorLeagueA_CFMontréal,Canada,200,500,500,200,North_American
20577,MajorLeagueA_VancouverWhitecapsFC,Canada,200,500,500,200,North_American
