id,name,nation,A,B,C,D,type
20776,JapanLeagueA_YokohamaF.Marinos,Japan,200,2000,2000,2000,East Asia
20536,JapanLeagueA_KawasakiFrontale,Japan,200,2000,2000,2000,East Asia
20553,JapanLeagueA_UrawaRedDiamonds,Japan,200,2000,2000,2000,East Asia
20778,JapanLeagueA_VisselKobe,Japan,200,2000,2000,2000,East Asia
20781,JapanLeagueA_GambaOsaka,Japan,50,500,500,500,East Asia
20779,JapanLeagueA_NagoyaGrampus,Japan,50,500,500,500,East Asia
20539,JapanLeagueA_CerezoOsaka,Japan,50,500,500,500,East Asia
20780,JapanLeagueA_FCTokyo,Japan,1,1,250,250,East Asia
20446,JapanLeagueA_KashimaAntlers,Japan,1,500,500,500,East Asia
20442,KoreanLeagueA_UlsanHyundaiFC,South_Korea,200,2000,2000,2000,East Asia
20530,KoreanLeagueA_JeonbukHyundaiMotors,South_Korea,200,2000,2000,2000,East Asia
20789,KoreanLeagueA_PohangSteelers,South_Korea,200,2000,2000,2000,East Asia
20791,KoreanLeagueA_IncheonUnited,South_Korea,1,500,500,500,East Asia
20803,KoreanLeagueA_JeonnamDragons,South_Korea,1,1,250,250,East Asia
20552,KoreanLeagueA_DaeguFC,South_Korea,1,1,250,250,East Asia
20541,KoreanLeagueA_SuwonSamsungBluewings,South_Korea,50,100,200,200,East Asia
20790,KoreanLeagueA_SeoulFC,South_Korea,50,500,500,500,East Asia
20531,ChineseLeagueA_TianjinJinmenTiger,China,1,1,500,1000,East Asia
20534,ChineseLeagueA_ShanghaiPortF.C.,China,200,2000,2000,1000,East Asia
20537,ChineseLeagueA_GuangzhouF.C.,China,1,1,1,1000,East Asia
20543,ChineseLeagueA_ShanghaiShenhuaF.C.,China,1,500,500,1000,East Asia
20548,ChineseLeagueA_ShandongTaishan,China,200,2000,2000,1000,East Asia
20554,ChineseLeagueA_BeijingGuoanF.C.,China,200,2000,2000,1000,East Asia
20840,ChineseLeagueA_WuhanThreeTowns,China,100,2000,2000,1000,East Asia
20841,ChineseLeagueA_ZhejiangProfessionalF.C.,China,50,1000,1000,1000,East Asia
20574,ThailandLeagueA_BuriramUnited,Thailand,1,1000,1,1000,East Asia
20675,ThailandLeagueA_PortFC,Thailand,1,1000,1,1000,East Asia
20676,ThailandLeagueA_BGPathumUnited,Thailand,1,1000,1,1000,East Asia
20681,ThailandLeagueA_LeoChiangraiUnited,Thailand,1,1000,1,1000,East Asia
20677,ThailandLeagueA_TrueBangkokUnited,Thailand,1,1000,1,1000,East Asia
20842,SingaporeA_LionCitySailorsFC,Singapore,1,1000,1,200,East Asia
20843,SingaporeA_TampinesRoversFC,Singapore,1,1000,1,200,East Asia
20844,PhilippineA_KayaFC-Iloilo,Philippines,1,1,1,500,East Asia
20533,HongKongLeagueA_KitcheeSC,CHINA_HONG_KONG,1,1,500,500,East Asia
20535,AustralianLeagueA_MelbourneVictoryFC,Australia,200,2000,2000,1000,East Asia
20542,AustralianLeagueA_SydneyFC,Australia,200,2000,2000,1000,East Asia
20550,MalaysiaLeagueA_JohorDarulTa'zim,Malaysia,1,1,1,500,East Asia
20838,VietnamA_HaNoiFC,Vietnam,200,1000,1000,1000,East Asia
20839,VietnamA_HaiPhongFC,Vietnam,200,1000,1000,1000,East Asia
20436,SaudiArabianA_AlHilalSFC,Saudi_Arabia,200,2000,2000,2000,West Asia
20515,SaudiArabianLeagueA_Al-AhliSaudiFC,Saudi_Arabia,200,2000,2000,2000,West Asia
20545,SaudiArabianLeagueA_AlNassrFC,Saudi_Arabia,200,2000,2000,2000,West Asia
20546,SaudiArabianLeagueA_Al-IttihadClub,Saudi_Arabia,200,2000,2000,2000,West Asia
20708,SaudiArabianLeagueA_Al Shabab,Saudi_Arabia,1,500,500,500,West Asia
20711,SaudiArabianLeagueA_Al-Fateh,Saudi_Arabia,1,500,500,500,West Asia
20716,SaudiArabianLeagueA_Al Feiha,Saudi_Arabia,1,500,500,500,West Asia
20709,SaudiArabianLeagueA_Al Taawon,Saudi_Arabia,1,500,500,500,West Asia
20440,QatarLeagueA_Al-DuhailSC,Qatar,200,2000,2000,2000,West Asia
20443,QatarLeagueA_AlSaddSC,Qatar,200,2000,2000,2000,West Asia
20517,QatarLeagueA_Al-GharafaSC,Qatar,200,2000,2000,2000,West Asia
20529,QatarLeagueA_Al-RayyanSC,Qatar,200,2000,2000,2000,West Asia
20518,IranLeagueA_TractorS.C.,Iran,200,2000,2000,2000,West Asia
20520,IranLeagueA_ZobAhanEsfahanF.C.,Iran,200,2000,2000,2000,West Asia
20523,IranLeagueA_PersepolisF.C.,Iran,200,2000,2000,2000,West Asia
20527,IranLeagueA_EsteghlalF.C.,Iran,200,2000,2000,2000,West Asia
20516,UnitedArabEmiratesLeaugeA_AlJaziraClub,United_Arab_Emirates,200,2000,2000,2000,West Asia
20445,UAELeagueA_AlAinFC,United_Arab_Emirates,200,2000,2000,2000,West Asia
20522,UnitedArabEmiratesLeaugeA_AlWahdaFC,United_Arab_Emirates,200,2000,2000,2000,West Asia
