id,name,nation,A,B,C,D,type
20539,JapanLeagueA_CerezoOsaka,Japan,200,2000,2000,2000,East Asia
20551,JapanLeagueA_SanfrecceHiroshima,Japan,200,2000,2000,2000,East Asia
20553,JapanLeagueA_UrawaRedDiamonds,Japan,200,2000,2000,2000,East Asia
20779,JapanLeagueA_NagoyaGrampus,Japan,200,2000,2000,2000,East Asia
20781,JapanLeagueA_GambaOsaka,Japan,200,2000,2000,2000,East Asia
20530,KoreanLeagueA_JeonbukHyundaiMotors,South_Korea,200,2000,2000,2000,East Asia
20541,KoreanLeagueA_SuwonSamsungBluewings,South_Korea,200,2000,2000,2000,East Asia
20552,KoreanLeagueA_DaeguFC,South_Korea,200,2000,2000,2000,East Asia
20789,KoreanLeagueA_PohangSteelers,South_Korea,200,2000,2000,2000,East Asia
20790,KoreanLeagueA_SeoulFC,South_Korea,200,2000,2000,2000,East Asia
20531,ChineseLeagueA_TianjinJinmenTiger,China,200,2000,2000,2000,East Asia
20548,ChineseLeagueA_ShandongTaishan,China,200,2000,2000,2000,East Asia
20554,ChineseLeagueA_BeijingGuoanF.C.,China,200,2000,2000,2000,East Asia
20840,ChineseLeagueA_WuhanThreeTowns,China,200,2000,2000,2000,East Asia
20841,ChineseLeagueA_ZhejiangProfessionalF.C.,China,200,2000,2000,2000,East Asia
20675,ThailandLeagueA_PortFC,Thailand,200,2000,2000,2000,East Asia
20676,ThailandLeagueA_BGPathumUnited,Thailand,200,2000,2000,2000,East Asia
20677,ThailandLeagueA_TrueBangkokUnited,Thailand,200,2000,2000,2000,East Asia
20678,ThailandLeagueA_MuangthongUnited,Thailand,100,1000,1000,1000,East Asia
20679,ThailandLeagueA_RatchaburiFC,Thailand,100,1000,1000,1000,East Asia
20680,ThailandLeagueA_ChonburiFC,Thailand,100,1000,1000,1000,East Asia
20681,ThailandLeagueA_LeoChiangraiUnited,Thailand,1,500,500,500,East Asia
20683,ThailandLeagueA_LamphunWarriors,Thailand,1,500,500,500,East Asia
20686,ThailandLeagueA_PTPrachuapFC,Thailand,1,500,500,500,East Asia
20535,AustralianLeagueA_MelbourneVictoryFC,Australia,100,2000,2000,2000,East Asia
20542,AustralianLeagueA_SydneyFC,Australia,100,2000,2000,2000,East Asia
30378,AustralianLeagueA_CentralCoastMariners,Australia,100,2000,2000,2000,East Asia
40090,AustralianLeagueA_MacarthurFC,Australia,100,2000,2000,2000,East Asia
20838,VietnamA_HaNoiFC,Vietnam,100,1000,1000,1000,East Asia
20947,VietnamA_CongAnHaNoiFC,Vietnam,100,1000,1000,1000,East Asia
20948,VietnamA_ThepXanhNamDinhFC,Vietnam,100,1000,1000,1000,East Asia
20839,VietnamA_HaiPhongFC,Vietnam,1,500,500,1000,East Asia
20949,VietnamA_TheCong-ViettelFC,Vietnam,1,500,500,1000,East Asia
20950,VietnamA_BecamexBinhDuongFC,Vietnam,1,500,500,1000,East Asia
