id|Saudi_Arabia:3|Qatar:3|Iran:3|United_Arab_Emirates:2|Uzbekistan:1|Iraq:1|Japan:3|South_Korea:3|China:3|Thailand:2|Australia:1|Malaysia:1,name,nation|Saudi_Arabia:3|Qatar:3|Iran:2|United_Arab_Emirates:1|Uzbekistan:1|Iraq:1|Japan:3|South_Korea:3|China:2|Thailand:1|Australia:1|Malaysia:1,tierStatValue,qualificationWeight,type|A:0|B:1|C:0|D:1,type2|A:12|B:12
20436,SaudiArabianA_AlHilalSFC,Saudi_Arabia,79,1000,A,A
20515,SaudiArabianLeagueA_Al-AhliSaudiFC,Saudi_Arabia,73,600,A,A
20545,SaudiArabianLeagueA_AlNassrFC,Saudi_Arabia,76,600,A,A
20546,SaudiArabianLeagueA_Al-IttihadClub,Saudi_Arabia,75,500,A,A
20712,SaudiArabianLeagueA_Al-Ettifaq,Saudi_Arabia,71,300,A,A
20731,SaudiArabianLeagueC_Al-Qadisiyah,Saudi_Arabia,71,100,A,A
20440,QatarLeagueA_Al-DuhailSC,Qatar,72,800,A,A
20443,QatarLeagueA_AlSaddSC,Qatar,73,1000,A,A
20517,QatarLeagueA_Al-GharafaSC,Qatar,69,400,A,A
20529,QatarLeagueA_Al-RayyanSC,Qatar,72,800,A,A
30374,QatarLeagueA_Al-ArabiSC,Qatar,68,400,A,A
30375,QatarLeagueA_Al-AhliSC,Qatar,65,100,A,A
20518,IranLeagueA_TractorS.C.,Iran,69,800,B,A
20520,IranLeagueA_ZobAhanEsfahanF.C.,Iran,67,500,B,A
20523,IranLeagueA_PersepolisF.C.,Iran,70,1000,B,A
20527,IranLeagueA_EsteghlalF.C.,Iran,70,900,B,A
30323,IranLeagueA_SepahanFC,Iran,69,800,B,A
30324,IranLeagueA_GolGoharSirjanFC,Iran,67,500,B,A
20445,UAELeagueA_AlAinFC,United_Arab_Emirates,70,1000,B,A
20516,UnitedArabEmiratesLeaugeA_AlJaziraClub,United_Arab_Emirates,69,800,B,A
20522,UnitedArabEmiratesLeaugeA_AlWahdaFC,United_Arab_Emirates,66,300,B,A
20526,UnitedArabEmiratesLeaugeA_AlWaslF.C.,United_Arab_Emirates,67,300,B,A
20525,UzbekistanLeagueA_FCNasaf,Uzbekistan,65,200,A,A
20547,UzbekistanLeagueA_PakhtakorTashkentFK,Uzbekistan,65,200,A,A
30376,IraqLeagueA_Al-ShortaSC,Iraq,63,100,A,A
30377,IraqLeagueA_Al-QuwaAl-Jawiya,Iraq,64,200,A,A
20446,JapanLeagueA_KashimaAntlers,Japan,70,1000,C,B
20536,JapanLeagueA_KawasakiFrontale,Japan,70,800,C,B
20551,JapanLeagueA_SanfrecceHiroshima,Japan,69,600,C,B
20553,JapanLeagueA_UrawaRedDiamonds,Japan,69,800,C,B
20776,JapanLeagueA_YokohamaF.Marinos,Japan,69,800,C,B
20778,JapanLeagueA_VisselKobe,Japan,68,800,C,B
20442,KoreanLeagueA_UlsanHyundaiFC,South_Korea,70,1000,C,B
20530,KoreanLeagueA_JeonbukHyundaiMotors,South_Korea,68,800,C,B
20789,KoreanLeagueA_PohangSteelers,South_Korea,68,800,C,B
20790,KoreanLeagueA_SeoulFC,South_Korea,69,800,C,B
20794,KoreanLeagueA_GangwonFC,South_Korea,66,200,C,B
20795,KoreanLeagueA_GwangjuFC,South_Korea,66,200,C,B
20534,ChineseLeagueA_ShanghaiPortF.C.,China,68,1000,D,B
20543,ChineseLeagueA_ShanghaiShenhuaF.C.,China,68,800,D,B
20548,ChineseLeagueA_ShandongTaishan,China,68,800,D,B
20554,ChineseLeagueA_BeijingGuoanF.C.,China,67,500,D,B
20841,ChineseLeagueA_ZhejiangProfessionalF.C.,China,65,200,D,B
20674,ThailandLeagueA_BuriramUnited,Thailand,66,1000,D,B
20676,ThailandLeagueA_BGPathumUnited,Thailand,65,600,D,B
20677,ThailandLeagueA_TrueBangkokUnited,Thailand,65,600,D,B
20535,AustralianLeagueA_MelbourneVictoryFC,Australia,65,200,C,B
30378,AustralianLeagueA_CentralCoastMariners,Australia,65,200,C,B
20550,MalaysiaLeagueA_JohorDarulTa'zim,Malaysia,65,1000,C,B
20867,MalaysiaLeagueA_SelangorFC,Malaysia,64,200,C,B
