name,type,team,Rules,hidden
EuropeanChampionshipCup,England:ABCD|Spain:ABCD|Italy:ABCD|Germany:ABCD|France:AD|Netherlands:A|Portugal:AB,ABCD|ABCD|ABCD|ABCD|ABCD|ABCD|ABCD|ABCD,EuropeanChampionshipCup|EuropeanChampionshipCupNew,
EuropeanLeagueCup,,,,
EuropaConferenceLeague,,,,
AsianSuperChampionshipCup,,,,
AsianChampionshipCupNew,China:ABC|Japan:ABCD|South_Korea:ABCD|Thailand:BD|Singapore:B|Philippines:D|CHINA_HONG_KONG:C|Australia:A|Malaysia:D|Vietnam:AC|Saudi_Arabia:ABCD|Qatar:ABC|Iran:ABC|United_Arab_Emirates:AC|Iraq:B|Uzbekistan:ABD|Jordan:D|Tajikistan:D|India:D|Turkmenistan:C,ABCD|ABCD|ABCD|ABCD|ABCD|ABCD|ABCD|ABCD|ABCD|ABCD,,
SouthAmericanChampionshipCup,Brazil:AABCCDD|Argentina:ABBCD|Bolivia:BC|Chile:AD|Colombia:ACD|Ecuador:ABD|Paraguay:ABC|Uruguay:AC|Peru:BCD|Venezuela:BD,ABCD|ABCD|ABCD|ABCD|ABCD|ABCD|ABCD|ABCD,,
ClubWorldCup,,AAAAAA,ClubWorldCup|ClubWorldCupNew,
AmericanChampionCup,Mexico:ABCD|United_States:ABCD|Canada:A|Haiti:B|Honduras:AD|Costa_Rica:B|El_Salvador:C|Guatemala:C,ABCD|ABCD|ABCD|ABCD,,
AfricanChampionshipCup,Egypt:AB|Morocco:AB|Algeria:AB|South_Africa:AB|Tunisia:AC|Tanzania:AC|DR_CONGO:AC|Angola:AC|Sudan:BC|Libya:BC,ABCD|ABCD|ABCD|ABCD|ABCD|ABCD|ABCD|ABCD,,
AsianChampionshipCup,China:ABCD|Japan:ABCD|South_Korea:ABCD|Thailand:D|CHINA_HONG_KONG:B|Australia:AC|Saudi_Arabia:ABCD|Qatar:ABCD|Iran:ABCD|Uzbekistan:CD,ABCD|ABCD|ABCD|ABCD|ABCD|ABCD|ABCD|ABCD,,TRUE
SouthAmericanAssociationCup,Brazil:AABBCCDD|Argentina:AABBCCD|Colombia:ACD|Chile:AD|Ecuador:AC|Paraguay:AC|Uruguay:BC|Bolivia:BD|Peru:BD|Venezuela:BD,ABCD|ABCD|ABCD|ABCD|ABCD|ABCD|ABCD|ABCD,,
AsianLeagueCup,Japan:A|South_Korea:A|China:A|Thailand:ACD|Australia:B|Vietnam:BD|Indonesia:BD|Malaysia:B|CHINA_HONG_KONG:CD|Philippines:C|Singapore:C|Saudi_Arabia:A|Qatar:AC|Iran:AC|United_Arab_Emirates:A|Iraq:B|Uzbekistan:B|Jordan:CD|Bahrain:B|India:BD|Tajikistan:C|Turkmenistan:D|Kuwait:D,ABCD|ABCD|ABCD|ABCD|ABCD|ABCD|ABCD|ABCD,,
