id,name,classification,rating,weight,Nation
20851,SouthAfricaLeagueA_MamelodiSundownsFC,Africa,71,200,South_Africa
20906,EgyptianLeagueA_PyramidsFC,Africa,70,70,Egypt
30002,AlgerianLeagueA_CRBelouizdad,Africa,68,68,Algeria
20438,EgyptianLeagueA_AlAhlySC,Africa,68,68,Egypt
20907,EgyptianLeagueA_ZamalekSC,Africa,68,68,Egypt
20998,MoroccanLeagueA_WydadCasablanca,Africa,68,68,Morocco
20852,SouthAfricaLeagueA_OrlandoPirates,Africa,68,68,South_Africa
20853,SouthAfricaLeagueA_KaizerChiefs,Africa,68,68,South_Africa
20444,TunisianLeagueA_ESTunis,Africa,68,68,Tunisia
30002,AlgerianLeagueA_CRBelouizdad,Africa,68,68,Algeria
20444,TunisianLeagueA_ESTunis,Africa,68,68,Tunisia
30004,AlgerianLeagueA_USMAlger,Africa,67,67,Algeria
30396,AlgerianLeagueA_MCAlgiers,Africa,67,67,Algeria
20999,MoroccanLeagueA_RajaClubAthletic,Africa,67,67,Morocco
20436,SaudiArabianA_AlHilalSFC,Asia,81,81,Saudi_Arabia
20546,SaudiArabianLeagueA_Al-IttihadClub,Asia,78,78,Saudi_Arabia
20545,SaudiArabianLeagueA_AlNassrFC,Asia,77,77,Saudi_Arabia
20515,SaudiArabianLeagueA_Al-AhliSaudiFC,Asia,74,74,Saudi_Arabia
20731,SaudiArabianLeagueC_Al-Qadisiyah,Asia,74,74,Saudi_Arabia
20440,QatarLeagueA_Al-DuhailSC,Asia,73,73,Qatar
20442,KoreanLeagueA_UlsanHyundaiFC,Asia,70,70,South_Korea
20516,UnitedArabEmiratesLeaugeA_AlJaziraClub,Asia,70,70,United_Arab_Emirates
20527,IranLeagueA_EsteghlalF.C.,Asia,70,70,Iran
20517,QatarLeagueA_Al-GharafaSC,Asia,70,70,Qatar
20534,ChineseLeagueA_ShanghaiPortF.C.,Asia,68,68,China
20543,ChineseLeagueA_ShanghaiShenhuaF.C.,Asia,68,68,China
20536,JapanLeagueA_KawasakiFrontale,Asia,69,69,Japan
20776,JapanLeagueA_YokohamaF.Marinos,Asia,69,69,Japan
20554,ChineseLeagueA_BeijingGuoanF.C.,Asia,68,68,China
20790,KoreanLeagueA_SeoulFC,Asia,69,69,South_Korea
20027,EnglishA_Liverpool,Europe,86,200,England
20026,EnglishA_ManchesterCity,Europe,84,200,England
20030,EnglishA_Arsenal,Europe,84,84,England
20028,EnglishA_Chelsea,Europe,82,82,England
20029,EnglishA_TottenhamHotspur,Europe,81,81,England
20031,EnglishA_ManchesterUnited,Europe,81,81,England
20102,SpanishA_RealMadrid,Europe,88,200,Spain
20103,SpanishA_AtléticodeMadrid,Europe,82,82,Spain
20101,SpanishA_Barcelona,Europe,81,200,Spain
20051,FrenchA_Paris,Europe,84,200,France
20126,GermanA_BayernMunchen,Europe,83,200,Germany
20129,GermanA_Bayer04Leverkusen,Europe,83,83,Germany
20127,GermanA_Dortmund,Europe,82,82,Germany
20078,ItalianA_InternazionaleMilano,Europe,85,200,Italy
20080,ItalianA_AssociazioneCalcioMilan,Europe,83,200,Italy
20081,ItalianA_Roma,Europe,81,81,Italy
20076,ItalianA_Juventus,Europe,80,80,Italy
20077,ItalianA_Napoli,Europe,80,80,Italy
20079,ItalianA_Atalanta,Europe,80,80,Italy
20183,PortugueseA_Benfica,Europe,80,80,Portugal
20181,PortugueseA_Porto,Europe,78,78,Portugal
20195,AustrianA_RedBullSalzburg,Europe,73,73,Austria
20189,DutchA_AjaxAmsterdam,Europe,75,75,Netherlands
20607,TurkishA_FenerbahçeS.K.,Europe,80,80,Turkey
20186,TurkishA_GalatasaraySpor,Europe,78,78,Turkey
20211,ScottishA_Celtic,Europe,76,76,Scotland
30117,ScottishA_RangersFC,Europe,75,75,Scotland
20178,BelgianA_BruggeK.V.,Europe,75,75,Belgium
20152,ArgentinaA_AtléticoRiverPlate,South America,77,400,Argentina
20151,ArgentinaA_AtléticoBocaJuniors,South America,75,400,Argentina
20002,BrazilA_Flamengo,South America,77,400,Brazil
20005,BrazilA_Corinthians,South America,76,400,Brazil
20003,BrazilA_Palmeiras,South America,75,75,Brazil
20011,BrazilA_Internacional,South America,74,74,Brazil
20012,BrazilA_SaoPaulo,South America,74,74,Brazil
20163,ArgentinaA_EstudiantesdeLaPlata,South America,73,73,Argentina
20243,ChileA_ClubSocialyDeportivoColo-Colo,South America,71,71,Chile
20240,ColombianA_MillonariosFútbolClub,South America,72,72,Colombia
20153,ArgentinaA_AtléticoVélezSársfield,South America,72,72,Argentina
20170,ArgentinaA_AtléticoIndependiente,South America,72,72,Argentina
20217,PeruvianA_ClubAlianzaLima,South America,71,71,Peru
20244,ParaguayanA_ClubCerroPorteño,South America,71,71,Paraguay
20218,EcuadorianA_IndependientedelValle,South America,70,70,Ecuador
20560,MajorLeagueA_InterMiamiCF,North America,75,500,United_States
20569,MajorLeagueA_LosAngelesFC,North America,74,500,United_States
20572,MajorLeagueA_LAGalaxy,North America,72,72,United_States
20439,MexicanLeagueA_C.F.Monterrey,North America,74,74,Mexico
20441,MexicanLeagueA_TigresUANL,North America,74,74,Mexico
20584,MexicanLeagueA_CruzAzul,North America,73,73,Mexico
20567,MajorLeagueA_TorontoFC,North America,71,71,Canada
20577,MajorLeagueA_VancouverWhitecapsFC,North America,69,69,Canada
20556,MajorLeagueA_CFMontréal,North America,66,66,Canada
20592,CostaRicaLeagueA_DeportivoSaprissa,North America,64,64,Costa_Rica
20597,CostaRicaLeagueA_Alajuelense,North America,64,64,Costa_Rica
20590,HondurasLeagueA_F.C.Motagua,North America,63,63,Honduras
20598,HondurasLeagueA_C.D.Olimpia,North America,63,63,Honduras
20588,GuatemalaLeagueA_ComunicacionesF.C.,North America,62,62,Guatemala
20589,GuatemalaLeagueA_C.D.Guastatoya,North America,62,62,Guatemala
30040,New_ZealandLeagueA_AucklandCityFC,Oceania,64,64,New_Zealand
