id|England:1|Spain:1|Germany:1|Italy:1|France:1|Netherlands:1|Portugal:1|Belgium:1|Scotland:1|Austria:1|Serbia:1|Turkey:1|Switzerland:2|Ukraine:2|Czech_Republic:2|Norway:2|Denmark:2|Russia:2|Croatia:2|Greece:2|Israel:2|Cyprus:2|Sweden:2|Poland:2|Hungary:2|Romania:2|Bulgaria:2|Slovakia:2|Azerbaijan:2|Kazakhstan:2,name,nation|England:1|Spain:1|Germany:1|Italy:1|France:1|Netherlands:1|Portugal:1|Belgium:1|Scotland:1|Austria:1|Serbia:1|Turkey:1|Switzerland:0|Ukraine:0|Czech_Republic:0|Norway:0|Denmark:0|Russia:0|Croatia:0|Greece:0|Israel:0|Cyprus:0|Sweden:0|Poland:0|Hungary:0|Romania:0|Bulgaria:0|Slovakia:0|Azerbaijan:0|Kazakhstan:0,tierStatValue,qualificationWeight,type|A:0|B:24,type2|A:0|B:0,Unnamed: 7
20037,EnglishA_NewcastleUnited,England,80,500,A,A,
20032,EnglishA_WestHamUnited,England,78,500,A,A,
20113,SpanishA_Villarreal,Spain,79,500,A,A,
20119,SpanishA_RealBetis,Spain,76,500,A,A,
20137,GermanA_Freiburg,Germany,77,500,A,A,
20144,GermanA_UnionBerlin,Germany,75,500,A,A,
20085,ItalianA_Bologna,Italy,77,500,A,A,
20091,ItalianA_Florence,Italy,76,500,A,A,
20070,FrenchA_Lens,France,77,500,A,A,
20057,FrenchA_Nice,France,77,500,A,A,
20252,DutchA_FCUtrecht,Netherlands,71,400,A,A,
20250,DutchA_AZAlkmaar,Netherlands,72,400,A,A,
20267,PortugueseA_F.C.Famalicão,Portugal,70,400,A,A,
20265,PortugueseA_VitóriadeGuimarães,Portugal,71,400,A,A,
30286,BelgianA_KAAGent,Belgium,71,400,A,A,
30285,BelgianA_RoyalAntwerpFC,Belgium,73,400,A,A,
30120,ScottishA_HibernianFC,Scotland,66,400,A,A,
30124,ScottishA_KilmarnockFC,Scotland,64,400,A,A,
30379,AustrianA_RapidVienna,Austria,70,400,A,A,
30380,AustrianA_AustriaVienna,Austria,69,400,A,A,
30381,SerbianA_FKCukaricki,Serbia,69,400,A,A,
30382,SerbianA_FKVojvodinaNoviSad,Serbia,67,400,A,A,
20185,TurkishA_İstanbulBaşakşehir,Turkey,72,400,A,A,
20606,TurkishA_Trabzonspor,Turkey,76,800,A,A,
30383,SwissA_FCLugano,Switzerland,70,100,B,A,
30384,SwissA_FCZürich,Switzerland,70,100,B,A,
30253,SwissA_ServetteFC,Switzerland,70,100,B,A,
40061,SwissA_FCLausanne-Sport,Switzerland,69,100,B,A,
30385,UkrainianA_KryvbasKryvyiRig,Ukraine,68,100,B,A,
40042,UkrainianA_PolissyaZhytomyr,Ukraine,65,100,B,A,
30254,UkrainianA_ZoryaLugansk,Ukraine,66,100,B,A,
40043,UkrainianA_VorsklaPoltava,Ukraine,65,100,B,A,
20210,CzechA_ViktoriaPlzeň,Czech_Republic,72,100,B,A,
40044,CzechA_FCBanikOstrava,Czech_Republic,64,100,B,A,
40045,CzechA_FKMladaBoleslav,Czech_Republic,64,100,B,A,
40046,CzechA_1.FCSlovacko,Czech_Republic,64,100,B,A,
30256,NorwegianA_FKBodø/Glimt,Norway,70,100,B,A,
30257,NorwegianA_MoldeFK,Norway,68,100,B,A,
30386,NorwegianA_SKBrann,Norway,66,100,B,A,
30258,DanishA_FCCopenhagen,Denmark,72,100,B,A,
20204,DanishA_Midtjylland,Denmark,73,100,B,A,
30387,DanishA_BröndbyIF,Denmark,71,100,B,A,
20200,RussianA_SpartakMoscow,Russia,72,100,B,A,
20961,RussianA_DynamoMoscow,Russia,73,100,B,A,
20199,RussianA_PFCCSKAMoscow,Russia,73,100,B,A,
20208,CroatianA_GNKDinamoZagreb,Croatia,71,100,B,A,
30259,CroatianA_HNKHajdukSplit,Croatia,71,100,B,A,
30388,CroatianA_HNKRijeka,Croatia,70,100,B,A,
30194,GreekA_PAOKThessaloniki,Greece,75,100,B,A,
30195,GreekA_PanathinaikosFC,Greece,75,100,B,A,
20201,GreekA_Olympiacos,Greece,72,100,B,A,
20202,GreekA_AEKAthensF.C.,Greece,76,100,B,A,
30389,IsraelA_MaccabiHaifa,Israel,70,100,B,A,
30390,IsraelA_MaccabiTelAviv,Israel,69,100,B,A,
40047,IsraelA_HapoelBeerSheva,Israel,64,100,B,A,
20203,CyprusA_Nicosia,Cyprus,65,100,B,A,
30391,CyprusA_ArisLimassol,Cyprus,69,100,B,A,
40048,CyprusA_OmoniaNicosia,Cyprus,64,100,B,A,
20205,SwedishA_Malmo,Sweden,69,100,B,A,
30392,SwedishA_BKHäcken,Sweden,69,100,B,A,
40062,SwedishA_HammarbyIF,Sweden,68,200,B,A,
30393,PolishA_LegiaWarszawa,Poland,68,100,B,A,
30394,PolishA_LechPoznan,Poland,69,100,B,A,
40063,PolishA_RakówCzęstochowa,Poland,68,100,B,A,
20206,HungarianA_FerencvárosiTorna,Hungary,72,100,B,A,
30395,HungarianA_PuskásAkadémiaFC,Hungary,67,100,B,A,
40049,HungarianA_DebreceniVSC,Hungary,62,100,B,A,
40064,RomaniaA_FCSB,Romania,69,100,B,A,
40065,RomaniaA_CFRCluj,Romania,67,100,B,A,
40066,RomaniaA_CSUniversitateaCraiova,Romania,67,200,B,A,
40050,BulgarianA_LudogoretsRazgrad,Bulgaria,68,100,B,A,
40051,BulgarianA_CSKA-Sofia,Bulgaria,70,100,B,A,
40052,BulgarianA_LevskiSofia,Bulgaria,72,100,B,A,
40053,SlovakiaA_SlovanBratislava,Slovakia,63,100,B,A,
40054,SlovakiaA_DACDunajskaStreda,Slovakia,63,100,B,A,
40055,SlovakiaA_SpartakTrnava,Slovakia,62,100,B,A,
40056,AzerbaijaniA_NeftchiBaku,Azerbaijan,56,100,B,A,
40057,AzerbaijaniA_SabahFK,Azerbaijan,65,100,B,A,
20212,AzerbaijaniA_QarabağFK,Azerbaijan,67,200,B,A,
40058,KazakhstanA_OrdabasyShymkent,Kazakhstan,63,100,B,A,
40059,KazakhstanA_FCAstana,Kazakhstan,64,100,B,A,
40060,KazakhstanA_FCAktobe,Kazakhstan,64,100,B,A,
