id,name,nation,A,B,C,D,type
20026,EnglishA_ManchesterCity,England,200,2000,3000,4000,Europe
20027,EnglishA_Liverpool,England,150,2000,3000,4000,Europe
20028,EnglishA_Chelsea,England,50,1000,1500,1500,Europe
20029,EnglishA_TottenhamHotspur,England,1,1,500,1000,Europe
20030,EnglishA_Arsenal,England,50,1000,1500,1500,Europe
20031,EnglishA_ManchesterUnited,England,50,1000,500,1000,Europe
20032,EnglishA_WestHamUnited,England,1,1,1,500,Europe
20037,EnglishA_NewcastleUnited,England,1,1,1,500,Europe
20101,SpanishA_Barcelona,Spain,300,4000,4000,4000,Europe
20102,SpanishA_RealMadrid,Spain,300,4000,4000,4000,Europe
20103,SpanishA_AtléticodeMadrid,Spain,100,3000,3000,3000,Europe
20106,SpanishA_Sevilla,Spain,50,1000,1000,1500,Europe
20109,SpanishA_RealSociedad,Spain,1,1,500,500,Europe
20113,SpanishA_Villarreal,Spain,1,1,500,500,Europe
20104,SpanishA_Valencia,Spain,1,1,500,500,Europe
20076,ItalianA_Juventus,Italy,150,3000,3000,3000,Europe
20077,ItalianA_Napoli,Italy,50,1000,1000,1000,Europe
20078,ItalianA_InternazionaleMilano,Italy,150,3000,3000,3000,Europe
20079,ItalianA_Atalanta,Italy,1,1,500,500,Europe
20080,ItalianA_AssociazioneCalcioMilan,Italy,100,1500,1500,1500,Europe
20081,ItalianA_Roma,Italy,1,500,500,500,Europe
20083,ItalianA_Lazio,Italy,1,500,1000,1000,Europe
20085,ItalianA_Bologna,Italy,1,1,1,500,Europe
20091,ItalianA_Florence,Italy,1,1,1,500,Europe
20126,GermanA_BayernMunchen,Germany,500,10000,10000,10000,Europe
20127,GermanA_Dortmund,Germany,50,4000,4000,4000,Europe
20128,GermanA_RBLeipzig,Germany,50,4000,4000,4000,Europe
20129,GermanA_Bayer04Leverkusen,Germany,50,1000,1500,1500,Europe
20131,GermanA_Frankfurt,Germany,1,1,500,500,Europe
20132,GermanA_Monchengladbach,Germany,1,1,500,500,Europe
20133,GermanA_Wolfsburg,Germany,1,1,500,500,Europe
20137,GermanA_Freiburg,Germany,1,1,500,500,Europe
20144,GermanA_UnionBerlin,Germany,1,1,500,500,Europe
20145,GermanA_Hoffenheim,Germany,1,1,500,500,Europe
20051,FrenchA_Paris,France,300,0,0,10000,Europe
20052,FrenchA_Lille,France,10,0,0,500,Europe
20053,FrenchA_Lyon,France,10,0,0,500,Europe
20055,FrenchA_Marseille,France,10,0,0,500,Europe
20057,FrenchA_Nice,France,10,0,0,500,Europe
20058,FrenchA_Monaco,France,10,0,0,500,Europe
20189,DutchA_AjaxAmsterdam,Netherlands,300,0,0,0,Europe
20190,DutchA_FeyenoordRotterdam,Netherlands,50,0,0,0,Europe
20248,DutchA_PhilipsSportVereniging,Netherlands,50,0,0,0,Europe
20181,PortugueseA_Porto,Portugal,150,2000,0,0,Europe
20182,PortugueseA_SportingClubedePortugal,Portugal,150,2000,0,0,Europe
20183,PortugueseA_Benfica,Portugal,150,2000,0,0,Europe
20178,BelgianA_BruggeK.V.,Belgium,1,150,150,150,Europe
20179,BelgianA_K.R.C.Genk,Belgium,1,150,150,150,Europe
20180,BelgianA_Anderlecht,Belgium,1,150,150,150,Europe
20184,TurkishA_BeşiktaşJ.K.,Turkey,1,150,150,150,Europe
20185,TurkishA_İstanbulBaşakşehir,Turkey,1,150,150,150,Europe
20186,TurkishA_GalatasaraySpor,Turkey,1,2000,2000,2000,Europe
20187,UkrainianA_ShakhtarDonetsk,Ukraine,1,3000,3000,3000,Europe
20188,UkrainianA_DynamoKyiv,Ukraine,1,150,150,150,Europe
20192,MoldovanA_Sheriff,Moldova,1,150,150,150,Europe
20193,SwissA_BSCYoungBoys,Switzerland,1,150,150,150,Europe
20194,SwissA_Basel,Switzerland,1,150,150,150,Europe
20201,GreekA_Olympiacos,Greece,1,150,150,150,Europe
20202,GreekA_AEKAthensF.C.,Greece,1,150,150,150,Europe
20203,CyprusA_Nicosia,Cyprus,1,150,150,150,Europe
20205,SwedishA_Malmo,Sweden,1,150,150,150,Europe
20206,HungarianA_FerencvárosiTorna,Hungary,1,150,150,150,Europe
20207,SerbianA_CrvenaZvezda,Serbia,1,500,500,500,Europe
20208,CroatianA_GNKDinamoZagreb,Croatia,1,1000,1000,1000,Europe
20209,CzechA_SKSlaviaPrague,Czech_Republic,1,150,150,150,Europe
20210,CzechA_ViktoriaPlzeň,Czech_Republic,1,150,150,150,Europe
20211,ScottishA_Celtic,Scotland,1,3000,3000,3000,Europe
20212,AzerbaijaniA_QarabağFK,Azerbaijan,1,150,150,150,Europe
20213,SlovenianA_Maribor,Slovenia,1,150,150,150,Europe
20195,AustrianA_RedBullSalzburg,Austria,1,3000,3000,3000,Europe
