id|England:5|Spain:5|Germany:5|Italy:5|France:5|Netherlands:3|Portugal:2|Belgium:2|Scotland:2|Austria:2|Serbia:2|Turkey:2|Switzerland:2|Ukraine:2|Czech_Republic:2|Norway:1|Denmark:1|Russia:1|Croatia:1|Greece:1,name,nation|England:4|Spain:4|Germany:4|Italy:4|France:4|Netherlands:2|Portugal:1|Belgium:1|Scotland:1|Austria:1|Serbia:0|Turkey:0|Switzerland:0|Ukraine:0|Czech_Republic:0|Norway:0|Denmark:0|Russia:0|Croatia:0|Greece:0,tierStatValue,qualificationWeight,type|A:0|B:5,type2|A:2|B:3,Unnamed: 7
20026,EnglishA_ManchesterCity,England,85,1200,A,A,
20027,EnglishA_Liverpool,England,83,1000,A,A,
20028,EnglishA_Chelsea,England,79,300,A,A,
20029,EnglishA_TottenhamHotspur,England,81,400,A,A,
20030,EnglishA_Arsenal,England,83,1000,A,A,
20031,EnglishA_ManchesterUnited,England,80,300,A,A,
20037,EnglishA_NewcastleUnited,England,79,100,A,A,
20039,EnglishA_AstonVilla,England,79,100,A,A,
20101,SpanishA_Barcelona,Spain,84,1200,A,A,
20102,SpanishA_RealMadrid,Spain,85,1200,A,A,
20103,SpanishA_AtléticodeMadrid,Spain,82,800,A,A,
20106,SpanishA_Sevilla,Spain,79,400,A,A,
20108,SpanishA_AthleticClubdeBilbao,Spain,80,400,A,A,
20109,SpanishA_RealSociedad,Spain,80,400,A,A,
20371,SpanishA_GironaFutbolClub,Spain,78,100,A,A,
20126,GermanA_BayernMunchen,Germany,84,1500,A,A,
20127,GermanA_Dortmund,Germany,81,800,A,A,
20128,GermanA_RBLeipzig,Germany,80,800,A,A,
20129,GermanA_Bayer04Leverkusen,Germany,82,800,A,A,
20131,GermanA_Frankfurt,Germany,77,100,A,A,
20133,GermanA_Wolfsburg,Germany,76,100,A,A,
20140,GermanA_Stuttgart,Germany,77,100,A,A,
20076,ItalianA_Juventus,Italy,81,1000,A,A,
20077,ItalianA_Napoli,Italy,81,800,A,A,
20078,ItalianA_InternazionaleMilano,Italy,83,1200,A,A,
20079,ItalianA_Atalanta,Italy,79,400,A,A,
20080,ItalianA_AssociazioneCalcioMilan,Italy,81,1000,A,A,
20081,ItalianA_Roma,Italy,78,200,A,A,
20083,ItalianA_Lazio,Italy,79,200,A,A,
20085,ItalianA_Bologna,Italy,76,100,A,A,
20051,FrenchA_Paris,France,83,1000,A,A,
20052,FrenchA_Lille,France,77,300,A,A,
20053,FrenchA_Lyon,France,77,300,A,A,
20055,FrenchA_Marseille,France,77,100,A,A,
20057,FrenchA_Nice,France,76,100,A,A,
20058,FrenchA_Monaco,France,78,300,A,A,
20060,FrenchA_Rennes,France,75,100,A,A,
20189,DutchA_AjaxAmsterdam,Netherlands,75,600,A,B,
20190,DutchA_FeyenoordRotterdam,Netherlands,76,800,A,B,
20248,DutchA_PhilipsSportVereniging,Netherlands,77,1000,A,B,
20249,DutchA_Twente,Netherlands,73,100,A,B,
20250,DutchA_AZAlkmaar,Netherlands,72,100,A,B,
20181,PortugueseA_Porto,Portugal,77,100,A,B,
20182,PortugueseA_SportingClubedePortugal,Portugal,78,100,A,B,
20183,PortugueseA_Benfica,Portugal,79,100,A,B,
20178,BelgianA_BruggeK.V.,Belgium,74,200,A,B,
20179,BelgianA_K.R.C.Genk,Belgium,72,100,A,B,
20180,BelgianA_Anderlecht,Belgium,74,100,A,B,
20211,ScottishA_Celtic,Scotland,74,400,A,B,
30117,ScottishA_RangersFC,Scotland,74,400,A,B,
30118,ScottishA_HeartofMidlothianFC,Scotland,70,100,A,B,
20195,AustrianA_RedBullSalzburg,Austria,73,300,A,B,
30249,AustrianA_SKSturmGraz,Austria,70,100,A,B,
30250,AustrianA_LASK,Austria,69,100,A,B,
20207,SerbianA_CrvenaZvezda,Serbia,71,200,B,B,
30251,SerbianA_FKPartizanBelgrade,Serbia,71,200,B,B,
30252,SerbianA_FKTSCBackaTopola,Serbia,70,100,B,B,
20184,TurkishA_BeşiktaşJ.K.,Turkey,75,100,B,B,
20186,TurkishA_GalatasaraySpor,Turkey,78,300,B,B,
20607,TurkishA_FenerbahçeS.K.,Turkey,78,300,B,B,
20193,SwissA_BSCYoungBoys,Switzerland,70,300,B,B,
20194,SwissA_Basel,Switzerland,68,100,B,B,
30253,SwissA_ServetteFC,Switzerland,69,200,B,B,
20187,UkrainianA_ShakhtarDonetsk,Ukraine,72,200,B,B,
20188,UkrainianA_DynamoKyiv,Ukraine,72,200,B,B,
30254,UkrainianA_ZoryaLugansk,Ukraine,67,100,B,B,
20209,CzechA_SKSlaviaPrague,Czech_Republic,74,200,B,B,
20210,CzechA_ViktoriaPlzeň,Czech_Republic,73,100,B,B,
30255,CzechA_ACSpartaPrague,Czech_Republic,74,200,B,B,
30256,NorwegianA_FKBodø/Glimt,Norway,70,200,B,B,
30257,NorwegianA_MoldeFK,Norway,68,100,B,B,
20204,DanishA_Midtjylland,Denmark,70,100,B,B,
30258,DanishA_FCCopenhagen,Denmark,72,200,B,B,
20196,RussianA_ZenitSaintPetersburg,Russia,72,200,B,B,
20198,RussianA_Krasnodar,Russia,70,100,B,B,
20208,CroatianA_GNKDinamoZagreb,Croatia,71,100,B,B,
30259,CroatianA_HNKHajdukSplit,Croatia,71,100,B,B,
30194,GreekA_PAOKThessaloniki,Greece,74,100,B,B,
30195,GreekA_PanathinaikosFC,Greece,75,200,B,B,
