id|England:3|Spain:3|Germany:3|Italy:3|France:3|Netherlands:3|Portugal:3|Belgium:3|Scotland:3|Austria:3|Serbia:3|Turkey:3|Switzerland:1|Ukraine:1|Czech_Republic:1|Norway:1|Denmark:1|Russia:1|Croatia:1|Greece:1|Israel:1|Cyprus:1|Sweden:1|Poland:1|Hungary:1,name,nation|England:2|Spain:2|Germany:2|Italy:2|France:2|Netherlands:2|Portugal:2|Belgium:2|Scotland:2|Austria:2|Serbia:2|Turkey:2|Switzerland:0|Ukraine:0|Czech_Republic:0|Norway:0|Denmark:0|Russia:0|Croatia:0|Greece:0|Israel:0|Cyprus:0|Sweden:0|Poland:0|Hungary:0,tierStatValue,qualificationWeight,type|A:0|B:11,type2|A:1|B:0,Unnamed: 7
20028,EnglishA_Chelsea,England,80,100,A,A,
20029,EnglishA_TottenhamHotspur,England,81,100,A,A,
20031,EnglishA_ManchesterUnited,England,81,200,A,A,
20032,EnglishA_WestHamUnited,England,79,600,A,A,
20037,EnglishA_NewcastleUnited,England,81,600,A,A,
20039,EnglishA_AstonVilla,England,80,600,A,A,
20106,SpanishA_Sevilla,Spain,77,200,A,A,
20108,SpanishA_AthleticClubdeBilbao,Spain,80,300,A,A,
20109,SpanishA_RealSociedad,Spain,78,300,A,A,
20113,SpanishA_Villarreal,Spain,77,600,A,A,
20119,SpanishA_RealBetis,Spain,77,500,A,A,
20371,SpanishA_GironaFutbolClub,Spain,78,500,A,A,
20129,GermanA_Bayer04Leverkusen,Germany,83,100,A,A,
20131,GermanA_Frankfurt,Germany,77,600,A,A,
20133,GermanA_Wolfsburg,Germany,76,200,A,A,
20137,GermanA_Freiburg,Germany,76,500,A,A,
20140,GermanA_Stuttgart,Germany,77,600,A,A,
20144,GermanA_UnionBerlin,Germany,75,200,A,A,
20079,ItalianA_Atalanta,Italy,79,600,A,A,
20081,ItalianA_Roma,Italy,80,300,A,A,
20083,ItalianA_Lazio,Italy,78,300,A,A,
20085,ItalianA_Bologna,Italy,77,300,A,A,
20091,ItalianA_Florence,Italy,77,300,A,A,
20052,FrenchA_Lille,France,77,200,A,A,
20057,FrenchA_Nice,France,76,500,A,A,
20060,FrenchA_Rennes,France,75,500,A,A,
20070,FrenchA_Lens,France,76,400,A,A,
20189,DutchA_AjaxAmsterdam,Netherlands,75,200,A,A,
20249,DutchA_Twente,Netherlands,72,400,A,A,
20250,DutchA_AZAlkmaar,Netherlands,70,400,A,A,
20252,DutchA_FCUtrecht,Netherlands,69,400,A,A,
20182,PortugueseA_SportingClubedePortugal,Portugal,78,200,A,A,
20263,PortugueseA_SportingClubedeBraga,Portugal,75,400,A,A,
20265,PortugueseA_VitóriadeGuimarães,Portugal,72,400,A,A,
20267,PortugueseA_F.C.Famalicão,Portugal,70,400,A,A,
20179,BelgianA_K.R.C.Genk,Belgium,71,300,A,A,
20180,BelgianA_Anderlecht,Belgium,73,100,A,A,
30284,BelgianA_UnionSaint-Gilloise,Belgium,71,400,A,A,
30286,BelgianA_KAAGent,Belgium,71,500,A,A,
30117,ScottishA_RangersFC,Scotland,74,100,A,A,
30118,ScottishA_HeartofMidlothianFC,Scotland,70,500,A,A,
30119,ScottishA_AberdeenFC,Scotland,67,500,A,A,
30120,ScottishA_HibernianFC,Scotland,67,500,A,A,
30249,AustrianA_SKSturmGraz,Austria,70,200,A,A,
30250,AustrianA_LASK,Austria,70,500,A,A,
30379,AustrianA_RapidVienna,Austria,69,500,A,A,
30380,AustrianA_AustriaVienna,Austria,68,500,A,A,
30251,SerbianA_FKPartizanBelgrade,Serbia,71,200,A,A,
30252,SerbianA_FKTSCBackaTopola,Serbia,70,500,A,A,
30381,SerbianA_FKCukaricki,Serbia,68,500,A,A,
30382,SerbianA_FKVojvodinaNoviSad,Serbia,68,500,A,A,
20184,TurkishA_BeşiktaşJ.K.,Turkey,76,200,A,A,
20185,TurkishA_İstanbulBaşakşehir,Turkey,72,400,A,A,
20606,TurkishA_Trabzonspor,Turkey,75,400,A,A,
20607,TurkishA_FenerbahçeS.K.,Turkey,79,200,A,A,
30253,SwissA_ServetteFC,Switzerland,69,100,B,B,
30383,SwissA_FCLugano,Switzerland,69,100,B,B,
30384,SwissA_FCZürich,Switzerland,68,100,B,B,
20188,UkrainianA_DynamoKyiv,Ukraine,73,500,B,B,
30254,UkrainianA_ZoryaLugansk,Ukraine,67,200,B,B,
30385,UkrainianA_KryvbasKryvyiRig,Ukraine,67,200,B,B,
20209,CzechA_SKSlaviaPrague,Czech_Republic,74,100,B,B,
20210,CzechA_ViktoriaPlzeň,Czech_Republic,72,200,B,B,
