id,name,nation,A,B,C,D,type
20001,BrazilA_AtléticoMineiro,Brazil,250,1500,1500,2000,South_American
20002,BrazilA_Flamengo,Brazil,250,1500,1500,2000,South_American
20003,BrazilA_Palmeiras,Brazil,250,1500,1500,2000,South_American
20005,BrazilA_Corinthians,Brazil,250,1500,1500,2000,South_American
20012,BrazilA_SaoPaulo,Brazil,250,1500,1500,2000,South_American
20021,BrazilA_Botafogo,Brazil,250,1500,1500,2000,South_American
20278,BrazilA_CruzeiroEsporteClube,Brazil,250,1500,1500,2000,South_American
20004,BrazilA_Fortaleza,Brazil,100,500,500,500,South_American
20007,BrazilA_Fluminense,Brazil,100,500,500,500,South_American
20009,BrazilA_Santos,Brazil,100,500,500,500,South_American
20011,BrazilA_Internacional,Brazil,100,500,500,500,South_American
20013,BrazilA_AtléticoParanaense,Brazil,100,500,500,500,South_American
20022,BrazilA_RegatasVascodaGama,Brazil,100,500,500,500,South_American
20006,BrazilA_AtléticoBragantino,Brazil,50,500,1000,1000,South_American
20008,BrazilA_Goiás,Brazil,50,500,1000,1000,South_American
20010,BrazilA_Ceará,Brazil,50,500,1000,1000,South_American
20014,BrazilA_Cuiabá,Brazil,50,500,1000,1000,South_American
20284,BrazilA_GrêmioNovorizontino,Brazil,50,500,1000,1000,South_American
20376,BrazilA_AtléticoGoianiense,Brazil,50,500,1000,1000,South_American
20431,BrazilA_EsporteClubeVitória,Brazil,50,500,1000,1000,South_American
20151,ArgentinaA_AtléticoBocaJuniors,Argentina,250,1500,1500,2000,South_American
20152,ArgentinaA_AtléticoRiverPlate,Argentina,250,1500,1500,2000,South_American
20153,ArgentinaA_AtléticoVélezSársfield,Argentina,250,1500,1500,2000,South_American
20163,ArgentinaA_EstudiantesdeLaPlata,Argentina,250,1500,1500,2000,South_American
20170,ArgentinaA_AtléticoIndependiente,Argentina,250,1500,1500,2000,South_American
20154,ArgentinaA_Racing,Argentina,250,1500,1500,2000,South_American
20155,ArgentinaA_AtléticaArgentinosJuniors,Argentina,250,1500,1500,2000,South_American
20157,ArgentinaA_AtléticoLanús,Argentina,50,500,1000,1000,South_American
20160,ArgentinaA_AtléticoNewell'sOldBoys,Argentina,50,500,1000,1000,South_American
20162,ArgentinaA_AtléticoTalleres,Argentina,50,500,1000,1000,South_American
20166,ArgentinaA_Huracán,Argentina,50,500,1000,1000,South_American
20167,ArgentinaA_GimnasiayEsgrimaLaPlata,Argentina,50,500,1000,1000,South_American
20168,ArgentinaA_UnionSantaFe,Argentina,50,500,1000,1000,South_American
20449,ArgentinaA_ClubAtléticoBelgrano,Argentina,50,500,1000,1000,South_American
20156,ArgentinaA_DefensayJusticia,Argentina,1,500,500,1000,South_American
20158,ArgentinaA_AtléticoSanLorenzo,Argentina,1,500,500,1000,South_American
20171,ArgentinaA_DeportivoGodoyCruzAntonioTomba,Argentina,1,500,500,1000,South_American
20173,ArgentinaA_AtléticoBanfield,Argentina,1,500,500,1000,South_American
20165,ArgentinaA_Colón,Argentina,1,1,500,500,South_American
20175,ArgentinaA_AtléticoPatronato,Argentina,1,1,500,500,South_American
20177,ArgentinaA_ClubAtléticoTigre,Argentina,1,1,500,500,South_American
20235,ColombianA_IndependienteSantaFe,Colombia,1,500,500,500,South_American
20236,ColombianA_AtléticoJunior,Colombia,100,500,500,500,South_American
20237,ColombianA_AtléticoNacional,Colombia,100,500,500,500,South_American
