id,name,nation,A,B,C,D,type
20151,ArgentinaA_AtléticoBocaJuniors,Argentina,250,1500,1500,2000,South_American
20152,ArgentinaA_AtléticoRiverPlate,Argentina,250,1500,1500,2000,South_American
20153,ArgentinaA_AtléticoVélezSársfield,Argentina,250,1500,1500,2000,South_American
20154,ArgentinaA_Racing,Argentina,250,1500,1500,2000,South_American
20155,ArgentinaA_AtléticaArgentinosJuniors,Argentina,250,1500,1500,2000,South_American
20175,ArgentinaA_AtléticoPatronato,Argentina,1,1,500,500,South_American
20165,ArgentinaA_Colón,Argentina,250,1500,1500,2000,South_American
20162,ArgentinaA_AtléticoTalleres,Argentina,1,500,500,1000,South_American
20163,ArgentinaA_EstudiantesdeLaPlata,Argentina,1,500,500,1000,South_American
20156,ArgentinaA_DefensayJusticia,Argentina,1,500,500,1000,South_American
20002,BrazilA_Flamengo,Brazil,250,1500,1500,2000,South_American
20011,BrazilA_Internacional,Brazil,250,1500,1500,2000,South_American
20003,BrazilA_Palmeiras,Brazil,250,1500,1500,2000,South_American
20007,BrazilA_Fluminense,Brazil,250,1500,1500,2000,South_American
20005,BrazilA_Corinthians,Brazil,250,1500,1500,2000,South_American
20013,BrazilA_AtléticoParanaense,Brazil,50,500,1000,1000,South_American
20001,BrazilA_AtléticoMineiro,Brazil,250,1500,1500,2000,South_American
20004,BrazilA_Fortaleza,Brazil,50,500,1000,1000,South_American
20006,BrazilA_AtléticoBragantino,Brazil,50,500,1000,1000,South_American
20009,BrazilA_Santos,Brazil,50,500,1000,1000,South_American
20012,BrazilA_SaoPaulo,Brazil,50,500,1000,1000,South_American
20227,BolivianA_ClubAlwaysReady,Bolivia,1,500,500,500,South_American
20228,BolivianA_TheStrongest,Bolivia,1,500,500,500,South_American
20229,BolivianA_ClubBolívar,Bolivia,1,500,500,500,South_American
20230,BolivianA_ClubJorgeWilstermann,Bolivia,1,500,500,500,South_American
20241,ChileA_ClubDeportivoUniversidadCatólica,Chile,100,500,500,500,South_American
20242,ChileA_UniónLaCalera,Chile,100,500,500,500,South_American
20243,ChileA_ClubSocialyDeportivoColo-Colo,Chile,100,500,500,500,South_American
20235,ColombianA_IndependienteSantaFe,Colombia,100,500,500,500,South_American
20236,ColombianA_AtléticoJunior,Colombia,100,500,500,500,South_American
20237,ColombianA_AtléticoNacional,Colombia,100,500,500,500,South_American
20238,ColombianA_IndependienteMedellín,Colombia,100,500,500,500,South_American
20239,ColombianA_CorporaciónDeportivaAmérica,Colombia,100,500,500,500,South_American
20240,ColombianA_MillonariosFútbolClub,Colombia,100,500,500,500,South_American
20218,EcuadorianA_IndependientedelValle,Ecuador,100,500,500,500,South_American
20219,EcuadorianA_BarcelonaSportingClub,Ecuador,100,500,500,500,South_American
20220,EcuadorianA_LDUQuito,Ecuador,100,500,500,500,South_American
20221,EcuadorianA_DelfínSportingClub,Ecuador,100,500,500,500,South_American
20244,ParaguayanA_ClubCerroPorteño,Paraguay,100,500,500,500,South_American
20245,ParaguayanA_ClubLibertad,Paraguay,100,500,500,500,South_American
20246,ParaguayanA_ClubGuaraní,Paraguay,100,500,500,500,South_American
20247,ParaguayanA_ClubOlimpia,Paraguay,100,500,500,500,South_American
20231,UruguayanA_ClubAtléticoRentistas,Uruguay,100,500,500,500,South_American
20232,UruguayanA_ClubNacionaldeFootball,Uruguay,100,500,500,500,South_American
20233,UruguayanA_DanubioFútbolClub,Uruguay,100,500,500,500,South_American
20234,UruguayanA_ClubAtléticoPeñarol,Uruguay,100,500,500,500,South_American
20214,PeruvianA_UniversitariodeDeportes,Peru,1,500,500,500,South_American
20215,PeruvianA_SportingCristal,Peru,1,500,500,500,South_American
20216,PeruvianA_EscuelaMunicipalDeportivoBinacional,Peru,1,500,500,500,South_American
20217,PeruvianA_ClubAlianzaLima,Peru,1,500,500,500,South_American
20222,VenezuelanaA_DeportivoTáchiraF.C.,Venezuela,1,500,500,500,South_American
20223,VenezuelanaA_DeportivoLaGuaira,Venezuela,1,500,500,500,South_American
20224,VenezuelanaA_AcademiaPuertoCabello,Venezuela,1,500,500,500,South_American
20225,VenezuelanaA_EstudiantesdeMérida,Venezuela,1,500,500,500,South_American
20226,VenezuelanaA_CaracasFC,Venezuela,1,500,500,500,South_American
