league_name,league_round,cup_round,cup_name,supercup_name,Nation,useMasterLeagueConfig,LeagueLogo,LeagueTrophy,CupLogo,SuperCupLog,CupTrophy,SuperCupTrophy
CompName_EnglishLeagueA,38,5,EnglishCup,EnglishSuperCup,England,0,EnglishPremierLeague,trophy_EnglishLeagueA,EnglishCup,EnglishSuperCup,trophy_EnglishCup,trophy_EnglishSuperCup
CompName_FrenchLeagueA,38,5,EnglishCup,EnglishSuperCup,England,0,EnglishPremierLeague,trophy_FrenchLeagueA,EnglishCup,EnglishSuperCup,trophy_FrenchCup,trophy_FrenchSuperCup
CompName_ItalianLeagueA,38,5,EnglishCup,EnglishSuperCup,England,0,EnglishPremierLeague,trophy_ItalianLeagueA,EnglishCup,EnglishSuperCup,trophy_ItalianCup,trophy_ItalianSuperCup
CompName_SpanishLeagueA,38,5,EnglishCup,EnglishSuperCup,England,0,EnglishPremierLeague,trophy_SpanishLeagueA,EnglishCup,EnglishSuperCup,trophy_SpanishCup,trophy_SpanishSuperCup
CompName_GermanLeagueA,38,5,EnglishCup,EnglishSuperCup,England,0,EnglishPremierLeague,trophy_GermanLeagueA,EnglishCup,EnglishSuperCup,trophy_GermanCup,trophy_GermanSuperCup
CompName_BrazilLeagueA,38,5,EnglishCup,EnglishSuperCup,England,0,EnglishPremierLeague,trophy_BrazilLeagueA,EnglishCup,EnglishSuperCup,trophy_BrazilCup,trophy_BrazilSuperCup
CompName_ArgentinaLeagueA,38,5,EnglishCup,EnglishSuperCup,England,0,EnglishPremierLeague,trophy_ArgentinaLeagueA,EnglishCup,EnglishSuperCup,trophy_ArgentinaCup,trophy_ArgentinaSuperCup
CompName_IndonesianLeagueA,38,5,EnglishCup,EnglishSuperCup,England,0,EnglishPremierLeague,trophy_IndonesianLeagueA,EnglishCup,EnglishSuperCup,trophy_IndonesianCup,trophy_BrazilSuperCup
CompName_AmericanLeagueA,38,5,EnglishCup,EnglishSuperCup,England,0,EnglishPremierLeague,trophy_MajorLeagueA,EnglishCup,EnglishSuperCup,trophy_SupportersShield,trophy_AmericanSuperCup
CompName_TurkishLeagueA,38,5,EnglishCup,EnglishSuperCup,England,0,EnglishPremierLeague,trophy_TurkishLeagueA,EnglishCup,EnglishSuperCup,trophy_TurkishCup,trophy_TurkishSuperCup
CompName_MexicanLeagueA,38,5,EnglishCup,EnglishSuperCup,England,0,EnglishPremierLeague,trophy_MexicanLeagueA,EnglishCup,EnglishSuperCup,trophy_MexicanCup,trophy_MexicanSuperCup
CompName_ThailandLeagueA,38,5,EnglishCup,EnglishSuperCup,England,0,EnglishPremierLeague,trophy_ThailandLeagueA,EnglishCup,EnglishSuperCup,trophy_ThailandCup,trophy_ThailandSupercup
CompName_SaudiArabianLeagueA,38,5,EnglishCup,EnglishSuperCup,England,0,EnglishPremierLeague,trophy_SaudiArabianLeagueA,EnglishCup,EnglishSuperCup,trophy_SaudiArabianCup,trophy_SaudiArabianaSuperCup
