type,id,"knockoutFormat(oneMatch,twoMatches)","finalFormat(oneMatch,twoMatches)",MaxKnockoutRoundNum
EuropeanChampionshipCup,1,twoMatches,oneMatch,-1
EnglishCup,8,oneMatch,oneMatch,-1
FrenchCup,9,oneMatch,oneMatch,-1
ItalianCup,10,oneMatch,oneMatch,-1
SpanishCup,11,oneMatch,oneMatch,-1
GermanCup,12,oneMatch,oneMatch,-1
EuropeanSuperCup,14,oneMatch,oneMatch,-1
EnglishSuperCup,15,oneMatch,oneMatch,-1
FrenchSuperCup,16,oneMatch,oneMatch,-1
ItalianSuperCup,17,oneMatch,oneMatch,-1
SpanishSuperCup,18,oneMatch,oneMatch,-1
GermanSuperCup,19,oneMatch,oneMatch,-1
ClubWorldCup,21,oneMatch,oneMatch,-1
BrazilCup,22,oneMatch,oneMatch,-1
BrazilSuperCup,23,oneMatch,oneMatch,-1
ArgentinaSuperCup,24,oneMatch,oneMatch,-1
ArgentinaCup,25,oneMatch,oneMatch,-1
IndonesianSuperCup,26,oneMatch,oneMatch,-1
IndonesianCup,27,oneMatch,oneMatch,-1
AsianChampionshipCup,28,twoMatches,oneMatch,-1
AmericanLeagueCup,29,oneMatch,oneMatch,-1
AmericanSuperCup,30,oneMatch,oneMatch,-1
AmericanChampionCup,31,twoMatches,oneMatch,-1
TurkishCup,32,oneMatch,oneMatch,-1
TurkishSuperCup,33,oneMatch,oneMatch,-1
MexicanCup,34,oneMatch,oneMatch,-1
MexicanSuperCup,35,oneMatch,oneMatch,-1
SouthAmericanChampionshipCup,36,twoMatches,oneMatch,-1
SaudiArabianSuperCup,37,oneMatch,oneMatch,-1
SaudiArabianCup,38,oneMatch,oneMatch,-1
ThailandCup,39,oneMatch,oneMatch,-1
ThailandSuperCup,40,oneMatch,oneMatch,-1
PortugueseCup,41,oneMatch,oneMatch,-1
PortugueseSuperCup,42,oneMatch,oneMatch,-1
JapanCup,43,oneMatch,oneMatch,-1
JapanSuperCup,44,oneMatch,oneMatch,-1
EgyptianCup,45,oneMatch,oneMatch,-1
EgyptianSuperCup,46,oneMatch,oneMatch,-1
RussianCup,47,oneMatch,oneMatch,-1
RussianSuperCup,48,oneMatch,oneMatch,-1
ColombianCup,49,oneMatch,oneMatch,-1
ColombianSuperCup,50,oneMatch,oneMatch,-1
AfricanChampionshipCup,51,twoMatches,oneMatch,-1
IndianCup,52,oneMatch,oneMatch,-1
IndianSuperCup,53,oneMatch,oneMatch,-1
ScottishCup,54,oneMatch,oneMatch,-1
ScottishSuperCup,55,oneMatch,oneMatch,-1
DutchCup,56,oneMatch,oneMatch,-1
DutchSuperCup,57,oneMatch,oneMatch,-1
SouthAfricaCup,58,oneMatch,oneMatch,-1
SouthAfricaSuperCup,59,oneMatch,oneMatch,-1
KoreanCup,60,oneMatch,oneMatch,-1
KoreanSuperCup,61,oneMatch,oneMatch,-1
BelgianCup,62,oneMatch,oneMatch,-1
BelgianSuperCup,63,oneMatch,oneMatch,-1
IranCup,64,oneMatch,oneMatch,-1
IranSuperCup,65,oneMatch,oneMatch,-1
