Teamid,Playerid
20001,
20002,
20003,
20004,
20005,
20006,
20007,
20008,
20009,
20010,
20011,
20012,
20013,
20014,
20015,
20016,
20017,
20018,
20019,
20020,
20021,
20022,
20023,
20024,
20025,
20278,
20279,
20280,
20281,
20282,
20283,
20284,
20285,
20286,
20287,
20288,
20289,
20290,
20291,
20292,
20293,
20375,
20376,
20377,
20426,
20427,
20428,
20429,
20430,
20431,
20432,
20433,
20434,
20435,
20026,100242|111024|103727
20027,111411|100642|111328
20028,106701|111325|117265
20029,100066|106742|100941
20030,103281|104458|100389
20031,100327|101004|102198
20032,103677|101277|111005
20033,
20034,
20035,
20036,
20037,
20038,
20039,
20040,
20041,
20042,
20043,
20044,
20045,
20046,
20047,
20048,
20049,
20050,
20310,
20311,
20312,
20313,
20314,
20315,
20316,
20317,
20318,
20319,
20320,
20321,
20322,
20323,
20324,
20325,
20326,
20327,
20328,
20398,
20399,
20400,
20401,
20402,
20403,
20404,
20405,
20406,
20367,
20051,100363|118784|111101
20052,
20053,
20054,
20055,
20056,
20057,
20058,
20059,
20060,
20061,
20062,
20063,
20064,
20065,
20066,
20067,
20068,
20069,
20070,
20071,
20072,
20073,
20074,
20075,
20355,
20356,
20357,
20358,
20359,
20360,
20361,
20362,
20363,
20364,
20365,
20366,
20372,
20373,
20374,
20416,
20417,
20418,
20419,
20420,
20421,
20422,
20423,
20424,
20425,
20076,
20077,104021|101134|100101
20078,100365|101364|100366
20079,
20080,104052|110971|100845
20081,
20082,
20083,
20084,
20085,
20086,
20087,
20088,
20089,
20090,
20091,
20092,
20093,
20094,
20095,
20096,
20097,
20098,
20099,
20100,
20342,
20343,
20344,
20345,
20346,
20347,
20348,
20349,
20350,
20351,
20352,
20353,
20354,
20368,
20369,
20370,
20407,
20408,
20409,
20410,
20411,
20412,
20413,
20414,
20415,
20101,101002|106795|100891
20102,100012|106801|106802
20103,100994|100056|105222
20104,
20105,
20106,
20107,
20108,
20109,
20110,
20111,
20112,
20113,
20114,
20115,
20116,
20117,
20118,
20119,
20120,
20121,
20122,
20123,
20124,
20125,
20294,
20295,
20296,
20297,
20298,
20299,
20300,
20301,
20302,
20303,
20304,
20305,
20306,
20307,
20308,
20309,
20371,
20388,
20389,
20390,
20391,
20392,
20393,
20394,
20395,
20396,
20397,
20126,111100|101465|100386
20127,100383|101458|106769
20128,100385|104812|100752
20129,
20130,
20131,
20132,
20133,
20134,
20135,
20136,
20137,
20138,
20139,
20140,
20141,
20142,
20143,
20144,
20145,
20146,
20147,
20148,
20149,
20150,
20330,
20331,
20332,
20333,
20334,
20335,
20336,
20337,
20339,
20340,
20341,
20378,
20379,
20380,
20381,
20382,
20383,
20384,
20385,
20386,
20387,
20151,
20152,
20153,
20154,
20155,
20156,
20157,
20158,
20159,
20160,
20161,
20162,
20163,
20164,
20165,
20166,
20167,
20168,
20169,
20170,
20171,
20172,
20173,
20174,
20175,
20176,
20177,
20448,
20449,
20450,
20451,
20452,
20453,
20454,
20455,
20456,
20457,
20458,
20459,
20460,
20461,
20462,
20463,
20464,
20465,
20466,
20467,
20468,
20469,
20470,
20471,
20472,
20473,
20474,
20475,
20476,
20477,
20478,
20479,
20480,
20481,
20482,
20483,
20484,
20485,
20486,
20487,
20488,
20489,
20490,
20491,
20492,
20493,
20494,
20495,
20496,
20497,
20498,
20499,
20500,
20501,
20502,
20503,
20504,
20505,
20506,
20507,
20508,
20509,
20510,
20511,
20512,
20513,
20514,
20555,
20556,
20557,
20558,
20559,
20560,
20561,
20562,
20563,
20564,
20565,
20566,
20567,
20568,
20569,
20570,
20571,
20572,
20573,
20574,
20575,
20576,
20577,
20578,
20579,
20580,
20581,
20582,
20583,
20584,
20585,
20586,
20587,
20588,
20589,
20590,
20591,
20592,
20593,
20595,
20596,
20597,
20598,
20599,
20600,
20601,
20603,
20604,
20605,
20606,
20607,
20608,
20609,
20610,
20611,
20612,
20613,
20614,
20615,
20616,
20617,
20618,
20619,
20620,
20621,
20622,
20624,
20625,
20626,
20627,
20628,
20629,
20630,
20631,
20632,
20633,
20634,
20635,
20636,
20637,
20638,
20639,
20640,
20641,
20642,
20644,
20646,
20647,
20649,
20650,
20651,
20652,
20653,
20654,
20655,
20656,
20657,
20658,
20659,
20660,
20661,
20662,
20663,
20664,
20665,
20666,
20667,
20668,
20669,
20670,
20671,
20672,
20673,
20739,
20740,
20741,
20742,
20743,
20744,
20745,
20746,
20747,
20748,
20749,
20750,
20751,
20752,
20800,
20801,
20802,
20708,
20709,
20711,
20712,
20713,
20714,
20715,
20716,
20717,
20718,
20721,
20719,
20720,
20722,
20723,
20724,
20725,
20726,
20727,
20728,
20729,
20730,
20731,
20732,
20733,
20734,
20735,
20736,
20737,
20738,
20753,
20754,
20755,
20756,
20757,
20758,
20759,
20760,
20761,
20762,
20763,
20764,
20765,
20766,
20767,
20768,
20769,
20770,
20771,
20772,
20773,
20774,
