nation,areaID
ALBANIA,6
ALGERIA,"13,16"
ANGOLA,4
ARGENTINA,1
AUSTRALIA,33
AUSTRIA,53
BELARUS,40
BELGIUM,"34,7"
BENIN,6
BRAZIL ,"49,50"
BULGARIA,2
BURKINA FASO,9
CAMEROON,2
CANADA,33
CAPE VERDE,7
CENTRAL AFRICAN REPUBLIC,7
CHILE,47
CHINA,55
COLOMBIA,1
COMOROS,8
CONGO,9
COSTA RICA,1
CROATIA,"10,9,17"
CUBA,31
CZECH REPUBLIC,"14,17"
DENMARK,11
DOMINICAN,8
DR CONGO,1
EGUADOR,1
EGYPT,15
ENGLAND,5
ESTONIA,10
FINLAND,59
FRANCE,32
FYR MACEDONIA,13
GABON,14
GAMBIA,11
GEORGIA,12
GERMANY,"21,22,23,24"
GHANA,15
GREECE,16
GUINEA,2
GUYANA,13
HAITI,10
HONDURAS,1
HUNGARY,52
ICELAND,5
IRAN,14
IRELAND,5
ISRAEL,10
ITALY,"36,53"
IVORY COAST,12
JAMAICA,15
JAPAN,44
KAZAKHSTAN,39
KENYA,1
KOREA,45
KYRGYZSTAN,41
LATVIA,16
MADAGASCAR,1
MALI,12
MEXICO,1
MONTENEGRO,11
MOROCCO,"16,13"
MOZAMBIQUE,2
NETHERLANDS,"7,34"
NEW ZEALAND,3
NIGERIA,5
NORTHERN IRELAND,6
NORWAY,3
PARAGUAY,1
PERU,1
POLAND,51
PORTUGAL,"49,50"
ROMANIA,16
RUSSIA,38
RWANDA,5
SAUDI ARABIA,42
SCOTLAND,5
SENEGAL,8
SERBIA,"9,10,17"
SIERRA LEONE,6
SLOVAK,"14,17"
SLOVENIA,"14,17"
SOMALIA,37
SOUTH AFRICA,2
SOUTH KOREA,46
SPAIN,"48,1"
SWEDEN,"5,3"
SWITZERLAND,35
THAILAND,57
TOGO,12
TUNISIA,4
TURKEY,58
UKRAINE,8
UNITED ARAB EMIRATES,43
UNITED STATES,"33,1,5"
URUGUAY,1
VENEZUELA,1
WALES,5
ZAMBIA,12
