Id_,EN,FR,IT,DE,ES,JA,PT,RU,ZH_CN,ZH_TW,ZH_HK,KO,AR,NL,TR,ID,TH,VI,EN_GB,FA,PL,SV,HI
Pass_1,GOOD,BIEN,BENE,GUT,BIEN,いいね,BOM,ХОРОШО,好球,喂波,喂波,좋음,كرة رائعة,GOED,Iyi,BAIK,ดี,TỐT,,,dobrze,,
Pass_2,COOL,COOL,FANTASTICO,COOL,INTERESANTE,かっこいい,MUITO BOM,ЗДОРОВО,优秀,傳波,傳波,멋있음,عظيم,GAAF,Güzel,KEREN,เจ๋ง,KHÁ,,,świetnie,,
Pass_3,GREAT,TRÈS BIEN,GRANDE,GROSSARTIG,GENIAL,すごい,ÓTIMO,ОТЛИЧНО,起飞,校炮,校炮,훌륭함,رائع,SUPERGOED,harika,Hebat,เยี่ยม,TUYỆT,,,wyśmienicie,,
Pass_4,NICE,JOLI,BUONO,NETT,FANTÁSTICO,ナイス,SATISFATÓRIO,ХОРОШО,太棒了,波到人到,波到人到,괜찮음,ممتاز,MOOI HOOR,mükemmel,BAGUS,ดี,HAY,,,Ładnie,,
YoungmanPass_1,YOUNG MAN,JEUNE HOMME,RAGAZZO,JUNGER MANN,HOMBRE JOVEN,ヤングマン,HOMEM JOVEM,МОЛОДОЙ ЧЕЛОВЕК,年青人,生咕仔,生咕仔,영 맨,شاب,JONGE MAN,genç adam,PEMUDA,เยาวชน,CHÀNG TRAI TRẺ,,,młody człowiek,,
NormalShot_1,PERFECT,PARFAIT,PERFETTO,PERFEKT,PERFECTO,完璧,PERFEITO,ИДЕАЛЬНО,球进了,入波,入波,완벽,هدف رائع,PERFECT,Efsane,SEMPURNA,สมบูรณ์แบบ,HOÀN HẢO,,,perfekcyjnie,,
NormalShot_2,POWERFUL,PUISSANT,POTENTE,STARK,PODEROSO,パワフル,PODEROSO,МОЩНО,爆射,勁射,勁射,강력한,ضربة قوية,KRACHTIG,Güclü,BERTENAGA,ทรงพลัง,UY LỰC,,,potężny,,
NormalShot_3,AWESOME,DINGUE,ECCEZIONALE,GENIAL,ASOMBROSO,びっくり,ESPETACULAR,КРУТО,帅气,入咗波,入咗波,대박,جميل,GEWELDIG,harika,MENGAGUMKAN,ยอดมาก,TUYỆT VỜI,,,niesamowicie,,
LongShot_1,UNBELIEVABLE,INCROYABLE,INCREDIBILE,KAUM ZU GLAUBEN,INCREIBLE,信じられない,INACREDITÁVEL,НЕВЕРОЯТНО,世界波,世界波,世界波,믿을 수 없는,لا يصدق,ONGELOOFLIJK,İnanılmaz,LUAR BIASA,เหลือเชื่อ,KHÔNG THỂ TIN NỔI,,,nie do wiary,,
LongShot_2,IMPOSSIBLE,IMPOSSIBLE,IMPOSSIBILE,UNMÖGLICH,IMPOSIBLE,あり得ない,IMPOSSÍVEL,НЕВОЗМОЖНО,天外飞仙,重炮,重炮,불가능한,مستحيل,ONMOGELIJK,İmkansız,MUSTAHIL,ไม่น่าเชื่อ,KHÔNG THỂ NÀO,,,niemożliwe,,
Heading_1,HEADER,COUP DE TÊTE,INTESTAZIONE,HEADER,CABEZAZO,ヘディング,CABECEADOR,УДАР ГОЛОВОЙ,头球,頭槌,頭槌,헤더,ضربة رأس,HEADER,Başlık,SUNDULAN,โหม่ง,ĐÁNH ĐẦU,,,główka,,
OneTouchShot_1,CHANCE,CHANCE,CHANCE,CHANCE,OCASIÓN,チャンス,OPORTUNIDADE,ШАНС,机会来了,拉弓,拉弓,찬스,فرصة جيدة,KANS,Şans,KESEMPATAN,โอกาส,CƠ HỘI,,,szansa,,
OneTouchShot_2,SHOOT,TIR,TIRO,SCHIESSEN,CHUTAR,シュート,REMATE,УДАР,来一脚,起腳掹,起腳掹,슛,إركلها,SCHIETEN,Şu,MENEMBAK,ยิง,SÚT,,,Strzelaj,,
Tackle_1,TACKLE,TACLE,TACKLE,ZWEIKAMPF,ENTRADA,タックル,CORTE,СТОЛКНОВЕНИЕ,球丢了,交失,交失,태클,تدخّل,TACKLE,Çelme,MENJEGAL,สกัด,CẢN BÓNG,,,Wślizg,,
Woodwork_1,OH,SUR LE POTEAU,FUORI DAI PALI,PFOSTEN,SALIÓ DE LA NADA,残念,INFELIZMENTE,КАК ОТ ДЕРЕВА,呀,中柱,中柱,골포스트를 맞음,آوه,OP DE LAT,Doğaçlama,OUH,นอกกรอบ,Ồ,,,Och,,
MissNear_1,SO CLOSE,PRESQUE,QUASI VICINO,SO NAH,MUY CERCA,惜しい,QUASE,ОЧЕНЬ БЛИЗКО,只差一点点,近磅,近磅,너무 가까움,قريبة للغاية,ZO DICHTBIJ,Çok Yakın,SANGAT DEKAT,ใกล้เคียง,SUÝT GHI BÀN,,,tak blisko,,
